Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Contact Email,Website
Internet Initiatives Development Fund (IIDF),https://www.crunchbase.com/organization/internet-initiatives-develompent-fund-iidf,449,4,"Moscow, Moscow City, Russian Federation",info@iidf.ru,https://www.iidf.ru
AGORANOV,https://www.crunchbase.com/organization/agoranov,448,52,"Paris, Ile-de-France, France",courrier@agoranov.com,http://www.agoranov.com/
Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,444,63,"London, England, United Kingdom",info@octopusvnetures.com,http://www.octopusventures.com
Balderton Capital,https://www.crunchbase.com/organization/balderton-capital,442,89,"London, England, United Kingdom",inbound@balderton.com,http://www.balderton.com
European Investment Bank,https://www.crunchbase.com/organization/european-investment-bank,430,129,"Luxembourg, Luxembourg, Luxembourg",Infodesk@eib.org,https://www.eib.org
Idinvest Partners,https://www.crunchbase.com/organization/idinvest-partners,412,134,"Paris, Ile-de-France, France",contact@idinvest.com,http://www.idinvest.com
LocalGlobe,https://www.crunchbase.com/organization/localglobe,410,70,"London, England, United Kingdom",rose@localglobe.vc,http://www.localglobe.vc
Pitch@Palace,https://www.crunchbase.com/organization/pitchpalace,401,30,"London, England, United Kingdom",support@pitchatpalace.com,http://pitchatpalace.com
British International Investment,https://www.crunchbase.com/organization/cdc-group,392,65,"London, England, United Kingdom",enquiries@bii.co.uk,https://www.bii.co.uk
Future Planet Capital,https://www.crunchbase.com/organization/future-planet-capital,385,23,"London, England, United Kingdom",info@futureplanetcapital.com,https://futureplanetcapital.com
Novo Holdings,https://www.crunchbase.com/organization/novo-a-s,383,99,"Hellerup, Hovedstaden, Denmark",cims@novo.dk,https://www.novoholdings.dk
Par Equity,https://www.crunchbase.com/organization/par-equity,369,16,"Edinburgh, Edinburgh, City of, United Kingdom",info@parequity.com,http://www.parequity.com
Scottish Investment Bank,https://www.crunchbase.com/organization/scottish-investment-bank,352,37,"Glasgow, Glasgow City, United Kingdom",advice@scotent.co.uk,https://www.scottish-enterprise.com/our-organisation/about-us/who-we-work-with/scottish-investment-bank
Scottish Enterprise,https://www.crunchbase.com/organization/scottish-enterprise,347,30,"Glasgow, Glasgow City, United Kingdom",enquiries@scotent.co.uk,http://www.scottish-enterprise.com/
Sofinnova Partners,https://www.crunchbase.com/organization/sofinnova-partners,346,72,"Paris, Ile-de-France, France",info@sofinnovapartners.com,https://www.sofinnovapartners.com
EIC Accelerator,https://www.crunchbase.com/organization/eic-accelerator,344,6,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en
Outlier Ventures,https://www.crunchbase.com/organization/outlier-ventures-ltd-llp,338,5,"London, England, United Kingdom",contact@outlierventures.io,https://www.outlierventures.io
Tenity,https://www.crunchbase.com/organization/tenity,328,11,"Zürich, Zurich, Switzerland",info@tenity.com,https://www.tenity.com
Parkwalk Advisors,https://www.crunchbase.com/organization/parkwalk-advisors,325,30,"London, England, United Kingdom",enquiries@parkwalkadvisors.com,https://parkwalkadvisors.com/
Seedrs,https://www.crunchbase.com/organization/seedrs,321,22,"London, England, United Kingdom",support@seedrs.com,http://www.seedrs.com
Eleven Ventures,https://www.crunchbase.com/organization/eleven,320,8,"Sofia, Grad Sofiya, Bulgaria",eleven@11.me,http://11.vc
European Bank for Reconstruction and Development,https://www.crunchbase.com/organization/european-bank-for-reconstruction-and-development-ebrd,319,76,"London, England, United Kingdom",info@ebrd.com,https://www.ebrd.com
Picus Capital,https://www.crunchbase.com/organization/picus-capital,318,15,"Munich, Bayern, Germany",info@picuscap.com,http://www.picuscap.com
Northzone,https://www.crunchbase.com/organization/northzone-ventures,315,51,"London, England, United Kingdom",,http://www.northzone.com
Portugal Ventures,https://www.crunchbase.com/organization/portugal-ventures,315,32,"Porto, Lisboa, Portugal",contact@portugalventures.pt,http://www.portugalventures.pt
Eurazeo,https://www.crunchbase.com/organization/eurazeo-com,311,64,"Paris, Ile-de-France, France",accueil@eurazeo.com,https://www.eurazeo.com
Sting,https://www.crunchbase.com/organization/stockholm-innovation-and-growth,308,25,"Stockholm, Stockholms Lan, Sweden",maria.ljungberg@sting.co,http://www.sting.co
Foundation for Innovation and Technology (FIT),https://www.crunchbase.com/organization/foundation-pour-l-innovation-technologique,308,33,"Lausanne, Vaud, Switzerland",info@fondation-fit.ch,https://fondation-fit.ch/en/who-is-fit/
Earlybird Venture Capital,https://www.crunchbase.com/organization/earlybird-venture-capital,306,52,"Berlin, Berlin, Germany",,http://earlybird.com/
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,296,24,"London, England, United Kingdom",info@ascension.vc,https://www.ascension.vc
Point Nine,https://www.crunchbase.com/organization/point-nine-capital,294,42,"Berlin, Berlin, Germany",info@pointninecap.com,http://www.pointnine.com
IP Group,https://www.crunchbase.com/organization/ip-group-plc,291,34,"London, England, United Kingdom",media@ipgroupplc.com,http://www.ipgroupplc.com
Seventure Partners,https://www.crunchbase.com/organization/seventure-partners,286,68,"Paris, Ile-de-France, France",contact@seventure.fr,http://www.seventure.fr
Development Bank of Wales,https://www.crunchbase.com/organization/development-bank-of-wales,284,28,"Cardiff, Cardiff, United Kingdom",info@developmentbank.wales,https://developmentbank.wales/
SICTIC,https://www.crunchbase.com/organization/sictic,281,17,"Zürich, Zurich, Switzerland",info@sictic.ch,http://www.sictic.ch/
HSBC,https://www.crunchbase.com/organization/hsbc,280,73,"London, England, United Kingdom",,http://www.hsbc.com
Amadeus Capital Partners,https://www.crunchbase.com/organization/amadeus-capital-partners,280,60,"Cambridge, Cambridgeshire, United Kingdom",info@amadeuscapital.com,https://amadeuscapital.com
Creandum,https://www.crunchbase.com/organization/creandum,273,40,"Stockholm, Stockholms Lan, Sweden",info@creandum.com,http://www.creandum.com
Novartis Venture Fund,https://www.crunchbase.com/organization/novartis-venture-fund,266,74,"Basel, Basel-Stadt, Switzerland",klydon@sosei.com,http://www.nvfund.com
Lanzadera Accelerator,https://www.crunchbase.com/organization/lanzadera-accelerator,265,8,"Valencia, Comunidad Valenciana, Spain",info@lanzadera.es,http://www.lanzadera.es/
Anthemis,https://www.crunchbase.com/organization/anthemis-group,262,30,"London, England, United Kingdom",ecosystemteam@anthemis.com,http://www.anthemis.com
Omnes Capital,https://www.crunchbase.com/organization/omnes-capital,259,92,"Paris, Ile-de-France, France",contact@omnescapital.com,https://www.omnescapital.com/en/
Vaekstfonden,https://www.crunchbase.com/organization/vækstfonden,259,39,"Hellerup, Hovedstaden, Denmark",vf@vf.dk,http://www.vf.dk
Bayern Kapital,https://www.crunchbase.com/organization/bayern-kapital,256,30,"Landshut, Bayern, Germany",info@bayernkapital.de,https://bayernkapital.de
tech2b Inkubator,https://www.crunchbase.com/organization/tech2b-incubator-2,256,7,"Linz, Oberosterreich, Austria",office@tech2b.at,http://tech2b.at/
Rockstart,https://www.crunchbase.com/organization/rockstart-accelerator,255,13,"Amsterdam, Noord-Holland, The Netherlands",team@rockstart.com,http://www.rockstart.com/
b2venture,https://www.crunchbase.com/organization/btovpartners,254,37,"Berlin, Berlin, Germany",berlin@b2venture.vc,http://www.b2venture.vc
HBM Healthcare Investments,https://www.crunchbase.com/organization/hbm-healthcare-investments-ag,251,79,"Zug, Zug, Switzerland",info@hbmhealthcare.com,http://www.hbmhealthcare.com
Atomico,https://www.crunchbase.com/organization/atomico,250,43,"London, England, United Kingdom",contact@atomico.com,http://www.atomico.com
IBB Ventures,https://www.crunchbase.com/organization/ibb,246,40,"Berlin, Berlin, Germany",info@ibbventures.de,https://www.ibbventures.de/
Wellington Partners,https://www.crunchbase.com/organization/wellington-partners,246,61,"Munich, Bayern, Germany",businessplan@wellington-partners.com,http://www.wellington-partners.com
Notion Capital,https://www.crunchbase.com/organization/notion-capital,245,32,"London, England, United Kingdom",info@notion.vc,https://notion.vc
Verve Ventures,https://www.crunchbase.com/organization/verve-ventures,243,24,"Zug, Zug, Switzerland",info@verve.vc,http://verve.vc
EIT InnoEnergy,https://www.crunchbase.com/organization/kic-innoenergy,242,7,"Eindhoven, Noord-Brabant, The Netherlands",benelux@innoenergy.com,http://www.innoenergy.com
Chalmers Ventures AB,https://www.crunchbase.com/organization/chalmers-ventures,242,14,"Göteborg, Vastra Gotaland, Sweden",info@chalmersventures.com,http://www.chalmersventures.com/
Eurasante,https://www.crunchbase.com/organization/eurasante,237,6,"Lille, Nord-Pas-de-Calais, France",,http://lille.eurasante.com/
Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,236,97,"Frankfurt, Hessen, Germany",deutsche.bank@db.com,https://www.db.com
Alven,https://www.crunchbase.com/organization/alven-capital,235,39,"Paris, Ile-de-France, France",contact@alven.com,https://www.alven.co/
European Commission,https://www.crunchbase.com/organization/european-commission,235,35,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",,https://ec.europa.eu/commission/index_en
EIT Digital Accelerator,https://www.crunchbase.com/organization/eit-digital-accelerator,235,44,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",accelerator@eitdigital.eu,https://www.eitdigital.eu/accelerator/
Apax Partners,https://www.crunchbase.com/organization/apax-partners,234,116,"London, England, United Kingdom",Communications@apax.com,http://www.apax.com/
MMC Ventures,https://www.crunchbase.com/organization/mmc-ventures,234,31,"London, England, United Kingdom",fundenquiries@mmc.vc,http://www.mmc.vc
Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,233,18,"Berlin, Berlin, Germany",press@cherry.vc,http://www.cherry.vc
Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,231,29,"Berlin, Berlin, Germany",info@atlanticlabs.de,http://www.atlanticlabs.de
RTP Global,https://www.crunchbase.com/organization/rtp-global,228,29,"London, England, United Kingdom",info@rtp.vc,https://rtp.vc/
Molten Ventures,https://www.crunchbase.com/organization/draper-esprit,228,55,"London, England, United Kingdom",info@molten.vc,https://www.moltenventures.com
360 Capital,https://www.crunchbase.com/organization/360-capital-partners,226,45,"Paris, Ile-de-France, France",info@360cap.vc,https://360cap.vc/
EQT Ventures,https://www.crunchbase.com/organization/eqtventures,224,22,"Stockholm, Stockholms Lan, Sweden",,https://eqtventures.com
XAnge,https://www.crunchbase.com/organization/xange-private-equity,224,38,"Paris, Ile-de-France, France",contact@xange.fr,https://www.xange.vc
The FSE Group,https://www.crunchbase.com/organization/finance-south-east,224,10,"Fleet, Hampshire, United Kingdom",fundingenquiries@thefsegroup.com,http://www.thefsegroup.com
Breakthrough Energy Ventures,https://www.crunchbase.com/organization/breakthrough-energy-ventures,223,5,"Paris, Ile-de-France, France",,https://www.breakthroughenergy.org
Target Global,https://www.crunchbase.com/organization/target-ventures,222,24,"London, England, United Kingdom",info@targetglobal.vc,http://www.targetglobal.vc
Seed Capital,https://www.crunchbase.com/organization/seed-capital,221,35,"Copenhagen, Hovedstaden, Denmark",info@seedcapital.dk,http://www.seedcapital.dk
Ventech,https://www.crunchbase.com/organization/ventech-capital,219,48,"Paris, Ile-de-France, France",contact@ventechvc.com,http://www.ventechvc.com
Project A Ventures,https://www.crunchbase.com/organization/project-a-ventures,219,33,"Berlin, Berlin, Germany",info@project-a.com,http://www.project-a.com
TA Ventures,https://www.crunchbase.com/organization/ta-venture,218,46,"Frankfurt, Hessen, Germany",info@taventures.vc,http://www.taventures.vc
MassChallenge Switzerland,https://www.crunchbase.com/organization/masschallenge-switzerland,216,2,"Renens, Vaud, Switzerland",,https://masschallenge.org/programs-switzerland
Inveready,https://www.crunchbase.com/organization/inveready-technology-investment-group,214,32,"Barcelona, Catalonia, Spain",info@inveready.com,https://inveready.com/
Business Finland,https://www.crunchbase.com/organization/tekes,212,15,"Helsinki, Southern Finland, Finland",,https://www.businessfinland.fi/en/for-finnish-customers/about-us/funding-information/
Ukrainian Startup Fund,https://www.crunchbase.com/organization/ukrainian-startup-fund,212,2,"Kyiv, Kyyiv, Ukraine",support@usf.com.ua,https://usf.com.ua/en
Industrifonden,https://www.crunchbase.com/organization/industrifonden,211,34,"Stockholm, Stockholms Lan, Sweden",info@industrifonden.com,http://www.industrifonden.com
WILCO,https://www.crunchbase.com/organization/scientipole-initiative,211,52,"Paris, Ile-de-France, France",industry@wilco-ambitions.com,http://www.wilco-ambitions.com/
Foresight Group,https://www.crunchbase.com/organization/foresight-group,210,38,"London, England, United Kingdom",info@foresightgroup.eu,http://www.foresightgroup.eu/
CDP Venture Capital,https://www.crunchbase.com/organization/cdp-venture-capital,208,1,"Rome, Lazio, Italy",,https://cdpventurecapital.it/
Heartcore Capital,https://www.crunchbase.com/organization/heartcore-capital,207,23,"Copenhagen, Hovedstaden, Denmark",,https://www.heartcore.com/
NDRC,https://www.crunchbase.com/organization/ndrc,207,20,"Dublin, Dublin, Ireland",info@ndrc.ie,http://www.ndrc.ie
Elaia,https://www.crunchbase.com/organization/elaia-partners,206,44,"Paris, Ile-de-France, France",contact@elaia.com,https://www.elaia.com
Andera Partners,https://www.crunchbase.com/organization/edmond-de-rothschild-investment-partners,205,65,"Paris, Ile-de-France, France",contact@bper.ch,https://www.anderapartners.com/en/
Maven Capital Partners,https://www.crunchbase.com/organization/maven-capital-partners,204,32,"Glasgow, Glasgow City, United Kingdom",enquiries@mavencp.com,https://www.mavencp.com/
Newfund,https://www.crunchbase.com/organization/newfund-management,203,34,"Paris, Ile-de-France, France",contact@newfundcap.com,http://www.newfundcap.com
ENISA,https://www.crunchbase.com/organization/enisa-2,203,5,"Madrid, Madrid, Spain",info@enisa.es,http://www.enisa.es
Bethnal Green Ventures,https://www.crunchbase.com/organization/bethnal-green-ventures,201,4,"London, England, United Kingdom",hello@bethnalgreenventures.com,https://bethnalgreenventures.com/apply
Innovation Capital,https://www.crunchbase.com/organization/innovation-capital-2bf4,201,,"Sofia, Grad Sofiya, Bulgaria",apply@innovationcapital.bg,https://www.innovationcapital.bg/
Venrex,https://www.crunchbase.com/organization/venrex-investment-management,199,18,"London, England, United Kingdom",,https://www.venrex.partners/
Aster,https://www.crunchbase.com/organization/aster-capital,196,19,"Paris, Ile-de-France, France",contact@aster.com,http://www.aster.com
Lakestar,https://www.crunchbase.com/organization/lakestar,195,29,"Zürich, Zurich, Switzerland",IR@lakestar.com,http://www.lakestar.com
Salica,https://www.crunchbase.com/organization/hambroperksltd,195,19,"London, England, United Kingdom",info@salicainvest.com,https://salicainvestments.com
Crédit Mutuel Equity,https://www.crunchbase.com/organization/crédit-mutuel-equity,195,35,"Paris, Ile-de-France, France",,https://www.creditmutuel-equity.eu/en
Haatch,https://www.crunchbase.com/organization/haatch,194,4,"Stamford, Lincolnshire, United Kingdom",hello@haatch.com,http://www.haatch.com
DigitalHealth.London Accelerator,https://www.crunchbase.com/organization/digitalhealth-london-accelerator,194,26,"London, England, United Kingdom",info@digitalhealth.london,http://digitalhealth.london/accelerator/
Fuel Ventures,https://www.crunchbase.com/organization/fuel-ventures-fund,192,6,"London, England, United Kingdom",,http://fuel.ventures/
Criteria Venture Tech,https://www.crunchbase.com/organization/caixa-capital,192,45,"Barcelona, Catalonia, Spain",tech@criteria.com,https://www.criteriaventuretech.com
Oxford Capital,https://www.crunchbase.com/organization/oxford-capital-partners,190,19,"Oxford, Oxfordshire, United Kingdom",info@oxcp.com,http://www.oxcp.com
Gimv,https://www.crunchbase.com/organization/gimv,190,60,"Antwerpen, Antwerpen, Belgium",info@gimv.com,http://www.gimv.com
KfW,https://www.crunchbase.com/organization/kfw,189,50,"Frankfurt, Hessen, Germany",info@kfw.de,https://www.kfw.de
Baillie Gifford,https://www.crunchbase.com/organization/baillie-gifford,189,49,"Edinburgh, Edinburgh, City of, United Kingdom",help@bailliegifford.com,https://www.bailliegifford.com
Societe Generale,https://www.crunchbase.com/organization/societe-generale,188,94,"Paris, Ile-de-France, France",,https://www.societegenerale.com
Abingworth,https://www.crunchbase.com/organization/abingworth-management,188,86,"London, England, United Kingdom",info@abingworth.com,http://www.abingworth.com
Passion Capital,https://www.crunchbase.com/organization/passion-capital,184,25,"London, England, United Kingdom",info@passioncapital.com,https://www.passioncapital.com/
EQT Life Sciences,https://www.crunchbase.com/organization/life-sciences-partners,180,50,"Amsterdam, Noord-Holland, The Netherlands",lspamsterdam@lspvc.com,https://www.lspvc.com
Firstminute Capital,https://www.crunchbase.com/organization/firstminute-capital,180,13,"London, England, United Kingdom",team@firstminute.capital,https://firstminute.capital/
Lifeline Ventures,https://www.crunchbase.com/organization/lifeline-ventures,179,20,"Helsinki, Southern Finland, Finland",timo@lifelineventures.com,http://www.lifelineventures.com
APX,https://www.crunchbase.com/organization/apxberlin,179,5,"Berlin, Berlin, Germany",hello@apx.vc,https://apx.vc/
Hackquarters,https://www.crunchbase.com/organization/hackquarters-startup-launchpad,179,5,"London, England, United Kingdom",hello@hackquarters.co,http://www.hackquarters.co
YZi Labs,https://www.crunchbase.com/organization/binance-labs-b05e,178,1,"Birkirkara, NA - Malta, Malta",,https://www.yzilabs.com
GSR,https://www.crunchbase.com/organization/gsr,178,2,"London, England, United Kingdom",gsr@gsr.io,https://www.gsr.io
Mangrove Capital Partners,https://www.crunchbase.com/organization/mangrove-capital-partners,177,29,"Luxembourg, Luxembourg, Luxembourg",deals@mangrove.vc,http://www.mangrove.vc/
Normandie Incubation,https://www.crunchbase.com/organization/normandie-incubation,177,4,"Rouen, Haute-Normandie, France",contact@normandie-incubation.com,https://normandie-incubation.com
LAUNCHub Ventures,https://www.crunchbase.com/organization/launchub,175,12,"Sofia, Grad Sofiya, Bulgaria",info@launchub.com,https://launchub.com
Innosuisse,https://www.crunchbase.com/organization/innosuisse,172,9,"Berne, Bern, Switzerland",info@innosuisse.ch,https://www.innosuisse.ch
GoBeyond,https://www.crunchbase.com/organization/go-beyond,172,12,"Zürich, Zurich, Switzerland",info@gobeyondinvesting.com,https://www.gobeyondinvesting.com/
Frontline Ventures,https://www.crunchbase.com/organization/frontline-ventures,169,20,"London, England, United Kingdom",info@frontline.vc,https://www.frontline.vc
Innovacom,https://www.crunchbase.com/organization/innovacom,169,44,"Paris, Ile-de-France, France",info@innovacom.com,https://innovacom.com/
FMO,https://www.crunchbase.com/organization/fmo,169,27,"The Hague, Zuid-Holland, The Netherlands",Paulgregory0000@gmail.com,http://www.fmo.nl/
7percent Ventures,https://www.crunchbase.com/organization/7-percent,168,13,"London, England, United Kingdom",,https://www.7pc.vc/
Janus Henderson Investors,https://www.crunchbase.com/organization/janus-henderson-investors,168,105,"London, England, United Kingdom",support@janushenderson.com,https://www.janushenderson.com/henderson
Act Venture Capital,https://www.crunchbase.com/organization/act-venture-capital,166,58,"Dublin, Dublin, Ireland",info@actvc.ie,http://www.actventure.capital
Techstart Ventures,https://www.crunchbase.com/organization/techstart-ventures,166,7,"Belfast, Belfast, United Kingdom",info@techstart.vc,https://www.techstart.vc/
Belgian Investment Company for Developing Countries,https://www.crunchbase.com/organization/belgian-investment-company-for-developing-countries,166,15,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",communications@bio-invest.be,http://www.bio-invest.be/
Force Over Mass Capital,https://www.crunchbase.com/organization/force-over-mass-capital,165,16,"London, England, United Kingdom",info@fomcap.com,http://www.fomcap.com/
Downing Ventures,https://www.crunchbase.com/organization/downing-ventures,165,21,"London, England, United Kingdom",webinfo@downing.co.uk,https://downing.co.uk/ventures/
IQ Capital,https://www.crunchbase.com/organization/iq-capital-partners,164,18,"Cambridge, Cambridgeshire, United Kingdom",hello@iqcapital.vc,http://www.iqcapital.vc
redalpine,https://www.crunchbase.com/organization/redalpine-venture-partners,164,15,"Zürich, Zurich, Switzerland",info@redalpine.com,http://www.redalpine.com
Scottish Equity Partners,https://www.crunchbase.com/organization/scottish-equity-partners,164,61,"Glasgow, Glasgow City, United Kingdom",enquiries@sep.co.uk,http://www.sep.co.uk
Propel Capital,https://www.crunchbase.com/organization/propel-capital,164,9,"Stockholm, Stockholms Lan, Sweden",emanuel.andersson@sting.co,https://sting.co/propel-capital/
Rabobank,https://www.crunchbase.com/organization/rabobank,162,36,"Utrecht, Utrecht, The Netherlands",contact@rabobank.com,http://www.rabobank.com
Auriga Partners,https://www.crunchbase.com/organization/auriga-partners,162,39,"Paris, Ile-de-France, France",entrepreneur@aurigapartners.com,https://www.auriga.vc
Oxford Science Enterprises,https://www.crunchbase.com/organization/oxford-sciences-innovation,161,14,"Oxford, Oxfordshire, United Kingdom",hello@oxfordsciences.com,https://oxfordscienceenterprises.com/
Forbion Capital Partners,https://www.crunchbase.com/organization/forbion-capital-partners,161,48,"Naarden, Noord-Holland, The Netherlands",info@forbion.com,http://www.forbion.com
Nauta Capital,https://www.crunchbase.com/organization/nauta-capital,161,27,"London, England, United Kingdom",info@nautacapital.com,http://www.nautacapital.com
LVenture Group,https://www.crunchbase.com/organization/lventures,160,7,"Roma, Lazio, Italy",info@lventuregroup.com,http://www.lventuregroup.com
Inventure,https://www.crunchbase.com/organization/inventure-oy,159,19,"Helsinki, Southern Finland, Finland",hello@inventure.vc,https://inventure.vc/
Cabiedes & Partners,https://www.crunchbase.com/organization/cabiedes-partners,159,23,"Madrid, Madrid, Spain",,http://www.cabiedesandpartners.com/
Kinnevik,https://www.crunchbase.com/organization/investment-ab-kinnevik,158,33,"Stockholm, Stockholms Lan, Sweden",info@kinnevik.se,http://www.kinnevik.com
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,155,48,"Berlin, Berlin, Germany",info@rocket-internet.com,https://www.rocket-internet.com/
Unilever Ventures,https://www.crunchbase.com/organization/unilever-ventures,155,31,"London, England, United Kingdom",uv.investments@unilever.com,http://www.unileverventures.com
Entrepreneur Venture,https://www.crunchbase.com/organization/entrepreneur-venture,155,40,"Paris, Ile-de-France, France",bahri@entrepreneurventure.com,https://www.entrepreneurinvest.com
Runa Capital,https://www.crunchbase.com/organization/runa-capital,154,26,"Luxembourg, Luxembourg, Luxembourg",info@runacap.com,http://runacap.com
1kx,https://www.crunchbase.com/organization/1kx,154,3,"Berlin, Berlin, Germany",,http://1kx.network
Turkey Development Fund,https://www.crunchbase.com/organization/turkey-development-fund,152,,"Umraniye, Istanbul, Turkey",info-tkf@kalkinma.com.tr,https://www.turkiyekalkinmafonu.com.tr/
468 Capital,https://www.crunchbase.com/organization/468-capital,151,11,"Berlin, Berlin, Germany",contact@468cap.com,https://www.468cap.com
Chris Adelsbach,https://www.crunchbase.com/person/chris-adelsbach,151,16,"London, England, United Kingdom",,https://www.outrunventures.com
AlbionVC,https://www.crunchbase.com/organization/albion-vc,150,27,"London, England, United Kingdom",marketing@albion.capital,https://www.albion.vc
ACF Investors,https://www.crunchbase.com/organization/angel-cofund,149,20,"Sheffield, Sheffield, United Kingdom",info@angelcofund.co.uk,https://www.acfinvestors.com
M Ventures,https://www.crunchbase.com/organization/merckventures,149,15,"Amsterdam, Noord-Holland, The Netherlands",,https://www.m-ventures.com/
Isai,https://www.crunchbase.com/organization/isai,148,26,"Paris, Ile-de-France, France",info@isai.fr,https://www.isai.fr/
Fil Rouge Capital (FRC),https://www.crunchbase.com/organization/fil-rouge-capital-frc,148,3,"Zagreb, Grad Zagreb, Croatia",info@filrougecapital.com,http://www.filrougecapital.com/
Shell Ventures,https://www.crunchbase.com/organization/shell-technology-ventures,148,19,"Rijswijk, Zuid-Holland, The Netherlands",,https://www.shell.com/energy-and-innovation/innovating-together/shell-ventures
InnovX,https://www.crunchbase.com/organization/innovx,148,3,"Bucharest, Bucuresti, Romania",office@innovx.eu,https://www.innovx.eu/
Crédit Agricole,https://www.crunchbase.com/organization/credit-agricole,146,41,"Montrouge, Ile-de-France, France",,http://www.credit-agricole.com
Serena,https://www.crunchbase.com/organization/serena-capital,146,23,"Paris, Ile-de-France, France",contact@serena.vc,http://www.serena.vc
Tikehau Capital,https://www.crunchbase.com/organization/tikehau-capital-advisors,145,62,"Paris, Ile-de-France, France",,http://www.tikehaucapital.com
