Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Number of Exits,Number of Investments,Contact Email,Website
Pitchdrive,https://www.crunchbase.com/organization/pitchdrive,"Antwerp, Antwerpen, Belgium","Financial Services, Internet",53,4,64,info@pitchdrive.com,https://www.pitchdrive.com
Maven Capital Partners,https://www.crunchbase.com/organization/maven-capital-partners,"Glasgow, Glasgow City, United Kingdom","Finance, Financial Services, Funding Platform, Venture Capital",174,33,205,enquiries@mavencp.com,https://www.mavencp.com/
Verve Ventures,https://www.crunchbase.com/organization/verve-ventures,"Zug, Zug, Switzerland","Business Development, Consulting, Financial Services, FinTech, Venture Capital",162,25,244,info@verve.vc,http://verve.vc
Future Energy Ventures,https://www.crunchbase.com/organization/future-energy-ventures,"Berlin, Berlin, Germany","Energy, Green Building, Transportation, Venture Capital",61,11,86,contact@fev.vc,https://fev.vc
Seraphim Space,https://www.crunchbase.com/organization/seraphim-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",104,7,147,ea@seraphim.vc,https://seraphim.vc
K Fund,https://www.crunchbase.com/organization/kfund,"Madrid, Madrid, Spain","Finance, Financial Services, Venture Capital",76,9,112,info@kfund.vc,http://kfund.vc
Par Equity,https://www.crunchbase.com/organization/par-equity,"Edinburgh, Edinburgh, City of, United Kingdom","Financial Services, FinTech, Impact Investing, Venture Capital",85,16,370,info@parequity.com,http://www.parequity.com
Amadeus Capital Partners,https://www.crunchbase.com/organization/amadeus-capital-partners,"Cambridge, Cambridgeshire, United Kingdom","Finance, Financial Services, Venture Capital",146,60,281,info@amadeuscapital.com,https://amadeuscapital.com
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,"London, England, United Kingdom","Financial Services, FinTech, Venture Capital",204,24,296,info@ascension.vc,https://www.ascension.vc
Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,"Berlin, Berlin, Germany",Venture Capital,131,30,233,info@atlanticlabs.de,http://www.atlanticlabs.de
Inveready,https://www.crunchbase.com/organization/inveready-technology-investment-group,"San Sebastian, Pais Vasco, Spain","Finance, Financial Services, Venture Capital",218,43,265,info@inveready.com,https://inveready.com/
SFC Capital,https://www.crunchbase.com/organization/startup-funding-club,"Northwich, Cheshire, United Kingdom",Venture Capital,521,21,700,info@sfccapital.com,http://www.sfccapital.com/
Faber,https://www.crunchbase.com/organization/faber-ventures,"Lisbon, Lisboa, Portugal","Financial Services, Venture Capital",50,8,69,contact@faber.vc,http://faber.vc
Ahren Innovation Capital,https://www.crunchbase.com/organization/ahren-innovation-capital,"London, England, United Kingdom",Venture Capital,25,6,37,info@ahren.co.uk,http://www.ahreninnovationcapital.com/
Draper B1,https://www.crunchbase.com/organization/draper-b1,"Valencia, Comunidad Valenciana, Spain","B2B, B2C, Financial Services, Internet, Mobile, Venture Capital",75,3,102,info@draperb1.vc,https://draperb1.vc/
Superhero Capital,https://www.crunchbase.com/organization/superhero-cap,"Helsinki, Southern Finland, Finland",Venture Capital,54,3,75,nexthero@superherocapital.com,http://superherocapital.com
KOMPAS VC,https://www.crunchbase.com/organization/kompas-fe2f,"Copenhagen, Hovedstaden, Denmark","Financial Services, Impact Investing, Venture Capital",23,1,30,contact@kompas.vc,http://www.kompas.vc
XAnge,https://www.crunchbase.com/organization/xange-private-equity,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",193,55,272,contact@xange.fr,https://www.xange.vc
Ventech,https://www.crunchbase.com/organization/ventech-capital,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",131,48,219,contact@ventechvc.com,http://www.ventechvc.com
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",427,74,632,info@seedcamp.com,http://www.seedcamp.com
Partech,https://www.crunchbase.com/organization/partech,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",388,110,600,media@partechpartners.com,https://partechpartners.com
Barclays,https://www.crunchbase.com/organization/barclays-7c03,"London, England, United Kingdom","Banking, Consumer, Financial Services, Wholesale",57,16,60,quangthong005@gmail.com,https://home.barclays
Anthemis,https://www.crunchbase.com/organization/anthemis-group,"London, England, United Kingdom","Asset Management, Finance, Financial Services, Venture Capital",160,30,263,ecosystemteam@anthemis.com,http://www.anthemis.com
Flyer One Ventures,https://www.crunchbase.com/organization/flyer-one-ventures,"London, England, United Kingdom","B2B, Enterprise Software, Food Delivery, Gamification, Gaming, Machine Learning, Software, Venture Capital, Virtual Workforce",61,5,69,go@flyerone.vc,https://flyerone.vc/
IQ Capital,https://www.crunchbase.com/organization/iq-capital-partners,"London, England, United Kingdom",Venture Capital,89,18,165,hello@iqcapital.vc,http://www.iqcapital.vc
Praetura Ventures,https://www.crunchbase.com/organization/praetura-capital,"Manchester, Manchester, United Kingdom","Financial Services, Venture Capital",76,7,115,ventures@praetura.co.uk,https://www.praeturaventures.com
Intesa Sanpaolo,https://www.crunchbase.com/organization/intesa-sanpaolo,"Turin, Piemonte, Italy","Asset Management, Banking, Financial Services, Insurance",104,34,113,info@intesasanpaolo.com,https://www.intesasanpaolo.com/
NRW.BANK,https://www.crunchbase.com/organization/nrw-bank,"Düsseldorf, Nordrhein-Westfalen, Germany","Angel Investment, Biotechnology, Semiconductor",77,15,107,info@nrwbank.de,http://www.nrwbank.de
CapitalT,https://www.crunchbase.com/organization/capitalt,"Amsterdam, Noord-Holland, The Netherlands","Education, GreenTech, Human Resources, Social, Software, Sustainability, Web3",25,1,30,janneke@capitaltvc.com,https://www.capitaltvc.com/
OSS Ventures,https://www.crunchbase.com/organization/oss-ventures,"Paris, Ile-de-France, France","Manufacturing, Software, Venture Capital",8,,12,admin@oss.ventures,https://www.oss.ventures
Luminar Ventures,https://www.crunchbase.com/organization/luminar-ventures,"Stockholm, Stockholms Lan, Sweden","Big Data, Education, Finance, Financial Services, Information Technology, Venture Capital",38,2,58,info@luminarventures.com,https://www.luminarventures.com/
Suma Capital,https://www.crunchbase.com/organization/suma-capital,"Barcelona, Catalonia, Spain",Venture Capital,30,3,30,info@sumacapital.com,http://www.sumacapital.com
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,"Tallinn, Harjumaa, Estonia","Banking, Financial Services, Venture Capital",451,13,629,info@startupwiseguys.com,https://startupwiseguys.com/
Entrepreneurs First,https://www.crunchbase.com/organization/entrepreneur-first,"London, England, United Kingdom","Artificial Intelligence (AI), Finance, Financial Services, FinTech, Venture Capital",354,40,467,info@joinef.com,http://www.joinef.com
Lifeline Ventures,https://www.crunchbase.com/organization/lifeline-ventures,"Helsinki, Southern Finland, Finland","Finance, Financial Services, FinTech, Venture Capital",114,20,179,timo@lifelineventures.com,http://www.lifelineventures.com
Newfund,https://www.crunchbase.com/organization/newfund-management,"Paris, Ile-de-France, France","Business Development, Finance, Financial Services, Venture Capital",158,34,205,contact@newfundcap.com,http://www.newfundcap.com
Kickfund,https://www.crunchbase.com/organization/kickfund,"Basel, Basel-Stadt, Switzerland",Venture Capital,28,1,29,info@kickfund.ch,https://www.kickfund.ch/
noa,https://www.crunchbase.com/organization/a-o-proptech,"London, England, United Kingdom","Commercial Real Estate, Construction, Finance, Financial Services, PropTech, Real Estate, Real Estate Investment, Smart Cities, Sustainability, Venture Capital",29,2,43,info@noavc.com,https://www.noavc.com/
United Ventures,https://www.crunchbase.com/organization/united-ventures,"Milan, Lombardia, Italy","Enterprise Software, Financial Services, FinTech",45,9,69,info@unitedventures.it,https://unitedventures.com
Balderton Capital,https://www.crunchbase.com/organization/balderton-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",241,91,443,inbound@balderton.com,http://www.balderton.com
42CAP,https://www.crunchbase.com/organization/42cap,"Munich, Bayern, Germany","SaaS, Venture Capital",49,5,83,info@42cap.com,http://www.42cap.com
Inventure,https://www.crunchbase.com/organization/inventure-oy,"Helsinki, Southern Finland, Finland","Finance, Financial Services, Venture Capital",100,20,160,hello@inventure.vc,https://inventure.vc/
Banco BPM,https://www.crunchbase.com/organization/banco-bpm,"Milan, Lombardia, Italy","Banking, Commercial, Finance, Financial Services",38,13,38,investor.relations@bancobpm.it,https://www.bancobpm.it/
NatWest Group,https://www.crunchbase.com/organization/royal-bank-of-scotland,"Edinburgh, Edinburgh, City of, United Kingdom","Banking, Finance, Financial Services, Wealth Management",55,20,63,in.service@rbs.com,https://natwestgroup.com
Notion Capital,https://www.crunchbase.com/organization/notion-capital,"London, England, United Kingdom","Finance, Financial Services, FinTech, SaaS, Software, Venture Capital",152,33,247,info@notion.vc,https://notion.vc
HV Capital,https://www.crunchbase.com/organization/holtzbrinck-ventures,"Munich, Bayern, Germany","Angel Investment, Finance, Financial Services, Venture Capital",245,91,481,info@hvcapital.com,http://www.hvcapital.com
Seedrs,https://www.crunchbase.com/organization/seedrs,"London, England, United Kingdom","Crowdfunding, Finance, Financial Services, Funding Platform, Venture Capital",246,24,323,support@seedrs.com,http://www.seedrs.com
Northstar Ventures,https://www.crunchbase.com/organization/northstar-ventures,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Angel Investment, Financial Services, Impact Investing, Social Impact, Venture Capital",287,28,544,hello@northstarventures.co.uk,http://www.northstarventures.co.uk
Revo Capital,https://www.crunchbase.com/organization/revo-capital,"Istanbul, Istanbul, Turkey","Artificial Intelligence (AI), B2B, B2C, Big Data, FinTech, mHealth, PaaS",43,9,68,info@revo.vc,http://www.revo.vc
Btomorrow Ventures,https://www.crunchbase.com/organization/btomorrow-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",23,2,42,contact@btomorrowv.com,https://www.btomorrowv.com
Episode 1,https://www.crunchbase.com/organization/episode,"London, England, United Kingdom","Enterprise Software, Finance, Financial Services, Venture Capital",67,8,125,info@episode1.com,http://www.episode1.com
Demeter,https://www.crunchbase.com/organization/demeter-1e8a,"Paris, Ile-de-France, France","CleanTech, Financial Services, Product Design, Venture Capital",65,5,86,contact@demeter-im.com,http://demeter-im.com/en
Anterra Capital,https://www.crunchbase.com/organization/anterra-capital,"Amsterdam, Noord-Holland, The Netherlands","AgTech, Financial Services, Food and Beverage, Supply Chain Management, Venture Capital",26,4,53,office@anterracapital.com,http://www.anterracapital.com/
Visionaries Club,https://www.crunchbase.com/organization/visionaries-club,"Berlin, Berlin, Germany","Angel Investment, Financial Services, Venture Capital",45,3,69,hi@visionariesclub.vc,https://visionaries.vc
Development Bank of Wales,https://www.crunchbase.com/organization/development-bank-of-wales,"Cardiff, Cardiff, United Kingdom","Banking, Commercial, Commercial Lending, Finance, Financial Services",226,28,285,info@developmentbank.wales,https://developmentbank.wales/
Seedstars,https://www.crunchbase.com/organization/seedstars,"Geneva, Geneve, Switzerland","Finance, Financial Services, Venture Capital",146,8,161,info@seedstars.com,https://www.seedstars.com/
Planet A Ventures,https://www.crunchbase.com/organization/planet-a-ventures,"Berlin, Berlin, Germany",Venture Capital,24,,36,startups@planet-a.com,https://planet-a.com/#contact
GSR,https://www.crunchbase.com/organization/gsr,"London, England, United Kingdom","Blockchain, Cryptocurrency, FinTech, Trading Platform",174,4,182,gsr@gsr.io,https://www.gsr.io
Parkwalk Advisors,https://www.crunchbase.com/organization/parkwalk-advisors,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",165,30,325,enquiries@parkwalkadvisors.com,https://parkwalkadvisors.com/
Contrarian Ventures,https://www.crunchbase.com/organization/contrarian-ventures,"Vilnius, Vilniaus Apskritis, Lithuania",Venture Capital,27,1,46,info@cventures.vc,http://cventures.vc/
Vento,https://www.crunchbase.com/organization/vento-db57,"Torino, Piemonte, Italy",Venture Capital,15,,17,info@vento.ventures,https://www.vento.ventures
Acurio Ventures,https://www.crunchbase.com/organization/acurio-ventures,"Bilbao, Pais Vasco, Spain","B2B, B2C, E-Commerce, Financial Services, FinTech, Internet, Marketplace, Venture Capital",73,9,99,hello@acurio.vc,http://www.acurio.vc
Ledger,https://www.crunchbase.com/organization/ledger-2,"Paris, Ile-de-France, France","Cryptocurrency, Cyber Security, Infrastructure, SaaS",5,,5,media@ledger.com,https://www.ledger.com
Auxxo,https://www.crunchbase.com/organization/auxxo,"Berlin, Berlin, Germany","Business Development, Financial Services, Impact Investing, Women's",25,1,35,partners@auxxo.de,https://www.auxxo.de/
Redstone.VC,https://www.crunchbase.com/organization/redstone-digital-gmbh,"Berlin, Berlin, Germany","Analytics, Business Development, Business Intelligence, Financial Services, FinTech, Venture Capital",92,9,115,info@redstone.vc,http://www.redstone.vc
Banco Bilbao Vizcaya Argentaria,https://www.crunchbase.com/organization/banco-bilbao-vizcaya-argentaria,"Bilbao, Pais Vasco, Spain","Banking, Big Data, Finance, Financial Services, FinTech",27,9,35,infobbvaresponde@bbva.com,https://www.bbva.com/
360 Capital,https://www.crunchbase.com/organization/360-capital-partners,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",136,45,227,info@360cap.vc,https://360cap.vc/
Eleven Ventures,https://www.crunchbase.com/organization/eleven,"Sofia, Grad Sofiya, Bulgaria","Consulting, Finance, Financial Services",163,8,320,eleven@11.me,http://11.vc
Enterprise Ireland,https://www.crunchbase.com/organization/enterprise-ireland,"Dublin, Dublin, Ireland","Enterprise Software, Finance, Venture Capital",674,114,836,equitydept@enterprise-ireland.com,http://enterprise-ireland.com
BY Venture Partners,https://www.crunchbase.com/organization/by-venture-partners,"St. Helier, NA - Jersey, Jersey","Asset Management, Financial Services, Venture Capital",48,7,58,info@byvp.com,https://byvp.com/
Simon Capital,https://www.crunchbase.com/organization/simon-capital,"Düsseldorf, Nordrhein-Westfalen, Germany","Financial Services, Impact Investing, Venture Capital",12,,13,hello@simoncapital.com,https://www.simoncapital.com
Alliance VC,https://www.crunchbase.com/organization/alliance-venture,"Oslo, Oslo, Norway",Venture Capital,47,9,69,hello@alliance.vc,https://alliance.vc
Scottish Equity Partners,https://www.crunchbase.com/organization/scottish-equity-partners,"Glasgow, Glasgow City, United Kingdom","Finance, Financial Services, Venture Capital",103,61,165,enquiries@sep.co.uk,http://www.sep.co.uk
Bitfury Group,https://www.crunchbase.com/organization/bitfury,"Amsterdam, Noord-Holland, The Netherlands","Bitcoin, Blockchain, Data Center, FinTech, Hardware, Information Services, Information Technology, Mining, Mining Technology",6,1,7,info@bitfury.com,http://www.bitfury.com
JME Ventures,https://www.crunchbase.com/organization/fundacin-jos-manuel-entrecanales,"Madrid, Madrid, Spain","Angel Investment, Finance, Financial Services, FinTech, Impact Investing, Venture Capital",70,8,103,backme@jme.vc,http://www.jme.vc/
Ring Capital,https://www.crunchbase.com/organization/ring-capital,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",47,4,50,contact@ringcp.com,http://www.ringcp.com
Innovestor,https://www.crunchbase.com/organization/innovestor,"Helsinki, Southern Finland, Finland","Angel Investment, Finance, Financial Services, Venture Capital",65,4,76,info@innovestor.fi,http://www.innovestorgroup.com/
Banco Sabadell,https://www.crunchbase.com/organization/banco-sabadell,"Barcelona, Catalonia, Spain","Banking, Finance, Financial Services",55,14,63,info@bancsabadell.com,http://www.bancsabadell.com
IBB Ventures,https://www.crunchbase.com/organization/ibb,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",176,40,249,info@ibbventures.de,https://www.ibbventures.de/
Scientifica Venture Capital,https://www.crunchbase.com/organization/scientifica-venture-capital,"Roma, Lazio, Italy","Angel Investment, Impact Investing, Venture Capital",12,,13,info@scientifica.vc,https://scientifica.vc/#/home
Teya,https://www.crunchbase.com/organization/teya-34fe,"London, England, United Kingdom","Financial Services, FinTech, Information Technology",5,,6,press@teya.com,https://www.teya.com
Mangrove Capital Partners,https://www.crunchbase.com/organization/mangrove-capital-partners,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services, Internet, Venture Capital",108,29,177,deals@mangrove.vc,http://www.mangrove.vc/
Pi Labs,https://www.crunchbase.com/organization/pi-labs-2,"London, England, United Kingdom","Finance, Innovation Management, Venture Capital",83,11,103,info@pilabs.vc,http://www.pilabs.vc
Foundamental,https://www.crunchbase.com/organization/foundamental,"Berlin, Berlin, Germany","Architecture, Building Maintenance, Construction, Home Improvement, Home Renovation, Human Resources, Real Estate, Robotics, Venture Capital",61,6,97,hello@foundamental.com,https://foundamental.com
Playfair Capital,https://www.crunchbase.com/organization/playfair-capital,"London, England, United Kingdom","Financial Services, FinTech, Venture Capital",83,14,125,hello@playfair.vc,http://playfair.vc
Orange Ventures,https://www.crunchbase.com/organization/orange-digital-ventures,"Paris, Ile-de-France, France","Big Data, Enterprise Software, Finance, Financial Services, FinTech, Internet of Things, Venture Capital, Wireless",58,9,72,digital.ventures@orange.com,http://ventures.orange.com/
Rabobank,https://www.crunchbase.com/organization/rabobank,"Utrecht, Utrecht, The Netherlands","Banking, Finance, Financial Services, Wealth Management",158,39,168,contact@rabobank.com,http://www.rabobank.com
bmp Ventures,https://www.crunchbase.com/organization/bmp-ag,"Berlin, Berlin, Germany","E-Commerce, Financial Services, Health Care, Industrial, Information Technology, Internet, Medical, Software, Venture Capital",96,18,114,info@bmp.com,http://www.bmp.com
Bayern Kapital,https://www.crunchbase.com/organization/bayern-kapital,"Landshut, Bayern, Germany","Business Development, Financial Services, Venture Capital",170,30,263,info@bayernkapital.de,https://bayernkapital.de
Scottish Enterprise,https://www.crunchbase.com/organization/scottish-enterprise,"Glasgow, Glasgow City, United Kingdom","Finance, Government, Venture Capital",258,32,351,enquiries@scotent.co.uk,http://www.scottish-enterprise.com/
Movens Capital,https://www.crunchbase.com/organization/movens-capital,"Warsaw, Mazowieckie, Poland","Marketplace, SaaS, Venture Capital",24,,33,info@movenscapital.com,https://www.movenscapital.com
Bitpanda,https://www.crunchbase.com/organization/bitpanda,"Vienna, Wien, Austria","Bitcoin, Blockchain, Cryptocurrency, FinTech",3,,3,support@bitpanda.com,https://www.bitpanda.com
AENU,https://www.crunchbase.com/organization/aenu,"Berlin, Berlin, Germany","Impact Investing, Venture Capital",34,,47,hello@aenu.com,https://www.aenu.com
LUMO labs,https://www.crunchbase.com/organization/lumo-labs,"Eindhoven, Noord-Brabant, The Netherlands","Business Development, Construction, Education, Health Care, Incubators, Real Estate, Software, Venture Capital",31,,36,questions@lumolabs.io,http://www.lumolabs.io
Isai,https://www.crunchbase.com/organization/isai,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",94,26,150,info@isai.fr,https://www.isai.fr/
DFINITY,https://www.crunchbase.com/organization/dfinity,"Zürich, Zurich, Switzerland","Artificial Intelligence (AI), Blockchain, Cloud Computing, Cryptocurrency, Internet, Software, Web Development",6,,6,comms@dfinity.org,https://internetcomputer.org/
RockawayX,https://www.crunchbase.com/organization/rockaway-blockchain,"Zürich, Zurich, Switzerland","Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital",39,1,41,contact@rockawayx.com,https://rockawayx.com/
TGFS - Technologiegründerfonds Sachsen,https://www.crunchbase.com/organization/technologiegrnderfonds-sachsen,"Leipzig, Sachsen, Germany","Enterprise Software, Venture Capital",100,9,143,info@tgfs.de,https://www.cfh.de
Primo Capital,https://www.crunchbase.com/organization/barcamper-ventures,"Milan, Lombardia, Italy","CleanTech, Finance, Financial Services, Health Care, Software, Venture Capital",50,8,70,info@primo.vc,https://primo.vc
Alma Mundi Ventures,https://www.crunchbase.com/organization/alma-mundi-venture,"Madrid, Madrid, Spain","Financial Services, FinTech, InsurTech, Venture Capital",70,8,104,contact@mundiventures.com,http://mundiventures.com/
Spintop Ventures,https://www.crunchbase.com/organization/spintop-ventures,"Östersund, Jamtlands Lan, Sweden","Finance, Financial Services, Venture Capital",46,10,63,finn.persson@spintopventures.com,http://spintopventures.com
UVC Partners,https://www.crunchbase.com/organization/uvc-partners,"Garching, Bayern, Germany","Finance, Financial Services, Venture Capital",57,9,117,pitch@uvcpartners.com,http://www.uvcpartners.com/
redalpine,https://www.crunchbase.com/organization/redalpine-venture-partners,"Zürich, Zurich, Switzerland",Venture Capital,85,15,166,info@redalpine.com,http://www.redalpine.com
HCVC,https://www.crunchbase.com/organization/hardwareclub,"Paris, Ile-de-France, France","Financial Services, Hardware, Venture Capital",53,6,82,contact@hardwareclub.co,http://hcvc.co/
Atomico,https://www.crunchbase.com/organization/atomico,"London, England, United Kingdom","Angel Investment, Financial Services, FinTech, Impact Investing, Venture Capital",157,44,253,contact@atomico.com,http://www.atomico.com
Angular Ventures,https://www.crunchbase.com/organization/angular-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",37,5,60,info@angularventures.com,http://www.angularventures.com
Shilling,https://www.crunchbase.com/organization/shilling-capital-partners,"Lisbon, Lisboa, Portugal","Angel Investment, Venture Capital",56,6,69,team@shilling.vc,https://www.shilling.vc/
P101,https://www.crunchbase.com/organization/programma-101,"Milan, Lombardia, Italy","Angel Investment, Finance, Financial Services, Venture Capital",57,17,99,info@p101.it,https://www.p101.it/en/
Indico Capital Partners,https://www.crunchbase.com/organization/indico-capital-partners,"Lisbon, Lisboa, Portugal","Financial Services, Marketplace, Software, Venture Capital",41,1,58,investors@indicocapital.com,https://www.indicocapital.com/
SCVC,https://www.crunchbase.com/organization/science-creates-ventures,"Bristol, Bristol, City of, United Kingdom","Biotechnology, Financial Services, Health Care, Incubators, Industrial, Internet, Life Science, Medical, Venture Capital",15,,19,info@scvc.com,https://www.scvc.com
Adara Ventures,https://www.crunchbase.com/organization/adara-venture-partners,"Luxembourg, Luxembourg, Luxembourg","Big Data, Energy, Information Technology, SaaS, Software, Venture Capital",50,13,78,info@adara.vc,http://www.adara.vc
Future Planet Capital,https://www.crunchbase.com/organization/future-planet-capital,"London, England, United Kingdom","Impact Investing, Venture Capital",186,23,389,info@futureplanetcapital.com,https://futureplanetcapital.com
ROM Utrecht Region,https://www.crunchbase.com/organization/rom-utrecht-region-27bc,"Utrecht, Utrecht, The Netherlands","Angel Investment, Business Development, Professional Services, Trading Platform, Venture Capital",19,,20,info@romutrechtregion.nl,https://www.romutrechtregion.nl/
Polytechnique Ventures,https://www.crunchbase.com/organization/polytechnique-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Social Entrepreneurship, Venture Capital",16,,18,contact@polytechnique-ventures.fr,https://www.polytechnique-ventures.fr/?lang=en
Greencode Ventures,https://www.crunchbase.com/organization/greencode-ventures,"Helsinki, Southern Finland, Finland",Venture Capital,11,,11,hello@greencode.vc,https://greencode.vc
LEA Partners,https://www.crunchbase.com/organization/lea-partners,"Karlsruhe, Baden-Wurttemberg, Germany","B2B, Supply Chain Management, Venture Capital",30,5,42,info@leapartners.de,http://www.leapartners.de
Schroders,https://www.crunchbase.com/organization/schroders-plc,"London, England, United Kingdom","Asset Management, Finance, Financial Services",17,6,21,investorservices@schroders.com,https://www.schroders.com/
Cardano Foundation,https://www.crunchbase.com/organization/cardano-foundation,"Zug, Zug, Switzerland","Application Performance Management, Bitcoin, Blockchain, Consumer Applications, Cryptocurrency, Developer APIs, Finance, Open Source",4,,4,info@cardanofoundation.org,https://cardanofoundation.org
Tera Ventures,https://www.crunchbase.com/organization/tera-ventures,"Tallinn, Harjumaa, Estonia","Artificial Intelligence (AI), B2B, Cyber Security, E-Commerce, Enterprise Software, Finance, Financial Services, Legal Tech, Product Design, PropTech",37,8,62,tera@tera.vc,https://tera.vc/
Aave,https://www.crunchbase.com/organization/ethlend,"London, England, United Kingdom","Cryptocurrency, Decentralized Finance (DeFi), Finance, Financial Services, FinTech, Open Source, Peer to Peer, Software, Venture Capital, Web3",9,,9,wow@aave.com,https://aave.com/
Karista,https://www.crunchbase.com/organization/karista,"Paris, Ile-de-France, France",Venture Capital,94,32,144,contact@karista.vc,https://www.karista.vc/
Wayra,https://www.crunchbase.com/organization/wayra,"Madrid, Madrid, Spain","Business Development, Incubators, Innovation Management",685,53,"1,136",wayra@wayra.org,https://www.wayra.com
SHIFT Invest,https://www.crunchbase.com/organization/shift-invest,"Amstelveen, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",40,2,54,info@shiftinvest.com,http://www.shiftinvest.com/
