Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Contact Email
SFC Capital,https://www.crunchbase.com/organization/startup-funding-club,"Northwich, Cheshire, United Kingdom",Venture Capital,523,info@sfccapital.com
VentureFriends,https://www.crunchbase.com/organization/venturefriends,"Athens, Attiki, Greece",Venture Capital,64,info@venturefriends.vc
Episode 1,https://www.crunchbase.com/organization/episode,"London, England, United Kingdom","Enterprise Software, Finance, Financial Services, Venture Capital",68,info@episode1.com
Begin Capital,https://www.crunchbase.com/organization/begin-capital,"London, England, United Kingdom","B2B, Cloud Infrastructure, Cyber Security, Database, Education, FinTech, Marketplace",22,alex.menn@begincl.com ruslan@begincl.com
Early Game Ventures,https://www.crunchbase.com/organization/early-game-ventures,"Bucharest, Bucuresti, Romania",Venture Capital,29,hello@earlygame.vc
Bitpanda,https://www.crunchbase.com/organization/bitpanda,"Vienna, Wien, Austria","Bitcoin, Blockchain, Cryptocurrency, FinTech",3,support@bitpanda.com
Simon Capital,https://www.crunchbase.com/organization/simon-capital,"Düsseldorf, Nordrhein-Westfalen, Germany","Financial Services, Impact Investing, Venture Capital",13,hello@simoncapital.com
Norrsken VC,https://www.crunchbase.com/organization/norrsken-vc,"Stockholm, Stockholms Lan, Sweden","Business Development, Financial Services, Venture Capital",63,info@norrsken.vc
True.,https://www.crunchbase.com/organization/trueglobal,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",66,enquiries@true.global
Icebreaker.vc,https://www.crunchbase.com/organization/icebreaker-vc,"Helsinki, Southern Finland, Finland","Angel Investment, Finance, Venture Capital",76,info@icebreaker.vc
Verve Ventures,https://www.crunchbase.com/organization/verve-ventures,"Zug, Zug, Switzerland","Business Development, Consulting, Financial Services, FinTech, Venture Capital",162,info@verve.vc
Aave,https://www.crunchbase.com/organization/ethlend,"London, England, United Kingdom","Cryptocurrency, Decentralized Finance (DeFi), Finance, Financial Services, FinTech, Open Source, Peer to Peer, Software, Venture Capital, Web3",9,wow@aave.com
GoHub Ventures,https://www.crunchbase.com/organization/gohub-ventures,"Valencia, Comunidad Valenciana, Spain","Artificial Intelligence (AI), FinTech, InsurTech, Machine Learning, SaaS, Software",28,contact@gohub.vc
Verdane,https://www.crunchbase.com/organization/verdane,"Oslo, Oslo, Norway","Finance, Financial Services, Impact Investing, Venture Capital",104,office@verdane.com
Inventure,https://www.crunchbase.com/organization/inventure-oy,"Helsinki, Southern Finland, Finland","Finance, Financial Services, Venture Capital",100,hello@inventure.vc
HV Capital,https://www.crunchbase.com/organization/holtzbrinck-ventures,"Munich, Bayern, Germany","Angel Investment, Finance, Financial Services, Venture Capital",247,info@hvcapital.com
Wayra,https://www.crunchbase.com/organization/wayra,"Madrid, Madrid, Spain","Business Development, Incubators, Innovation Management",685,wayra@wayra.org
Barclays,https://www.crunchbase.com/organization/barclays-7c03,"London, England, United Kingdom","Banking, Consumer, Financial Services, Wholesale",67,quangthong005@gmail.com
Banco Bilbao Vizcaya Argentaria,https://www.crunchbase.com/organization/banco-bilbao-vizcaya-argentaria,"Bilbao, Pais Vasco, Spain","Banking, Big Data, Finance, Financial Services, FinTech",30,infobbvaresponde@bbva.com
Balderton Capital,https://www.crunchbase.com/organization/balderton-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",241,inbound@balderton.com
Ledger,https://www.crunchbase.com/organization/ledger-2,"Paris, Ile-de-France, France","Cryptocurrency, Cyber Security, Infrastructure, SaaS",5,media@ledger.com
Capnamic,https://www.crunchbase.com/organization/capnamic-ventures,"Cologne, Nordrhein-Westfalen, Germany","Finance, Financial Services, Venture Capital",73,info@capnamic.com
Playfair Capital,https://www.crunchbase.com/organization/playfair-capital,"London, England, United Kingdom","Financial Services, FinTech, Venture Capital",84,hello@playfair.vc
APEX Capital,https://www.crunchbase.com/organization/apex-capital-9cd3,"Cascais, Lisboa, Portugal","Financial Services, Media and Entertainment, Sports",12,info@apex-cp.com
Atlantic Bridge,https://www.crunchbase.com/organization/atlantic-bridge,"Dublin, Dublin, Ireland","Finance, Financial Services, Venture Capital",87,info@abven.com
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",430,info@seedcamp.com
Fabric Ventures,https://www.crunchbase.com/organization/fabric-ventures,"London, England, United Kingdom","Blockchain, Cryptocurrency, Financial Services, Venture Capital",99,info@fabric.vc
KOMPAS VC,https://www.crunchbase.com/organization/kompas-fe2f,"Copenhagen, Hovedstaden, Denmark","Financial Services, Impact Investing, Venture Capital",24,contact@kompas.vc
Hummingbird Ventures,https://www.crunchbase.com/organization/hummingbird-ventures,"Watermael-boitsfort, Brussels Hoofdstedelijk Gewest, Belgium","Finance, Financial Services, Life Science, Therapeutics, Venture Capital",76,hello@hummingbird.vc
Shilling VC,https://www.crunchbase.com/organization/shilling-capital-partners,"Lisbon, Lisboa, Portugal",Venture Capital,59,team@shilling.vc
Primo Capital,https://www.crunchbase.com/organization/barcamper-ventures,"Milan, Lombardia, Italy","CleanTech, Finance, Financial Services, Health Care, Software, Venture Capital",51,info@primo.vc
United Ventures,https://www.crunchbase.com/organization/united-ventures,"Milan, Lombardia, Italy","Enterprise Software, Financial Services, FinTech",45,info@unitedventures.it
K Fund,https://www.crunchbase.com/organization/kfund,"Madrid, Madrid, Spain","Finance, Financial Services, Venture Capital",77,info@kfund.vc
Atomico,https://www.crunchbase.com/organization/atomico,"London, England, United Kingdom","Angel Investment, Financial Services, FinTech, Impact Investing, Venture Capital",159,contact@atomico.com
KAYA,https://www.crunchbase.com/organization/kaya-8ed9,"Prague, Hlavni mesto Praha, Czech Republic","Finance, Financial Services, Venture Capital",45,info@kaya.vc
Acurio Ventures,https://www.crunchbase.com/organization/acurio-ventures,"Bilbao, Pais Vasco, Spain","B2B, B2C, E-Commerce, Financial Services, FinTech, Internet, Marketplace, Venture Capital",74,hello@acurio.vc
Seedstars,https://www.crunchbase.com/organization/seedstars,"Geneva, Geneve, Switzerland","Finance, Financial Services, Venture Capital",146,info@seedstars.com
Exceptional Ventures,https://www.crunchbase.com/organization/exceptional-ventures,"London, England, United Kingdom","Food and Beverage, Health Care, Venture Capital",27,hello@exceptional.ventures
Redstone.VC,https://www.crunchbase.com/organization/redstone-digital-gmbh,"Berlin, Berlin, Germany","Analytics, Business Development, Business Intelligence, Financial Services, FinTech, Venture Capital",93,info@redstone.vc
Volta Ventures,https://www.crunchbase.com/organization/volta-ventures,"Gent, Oost-Vlaanderen, Belgium","B2B, Finance, Financial Services, Venture Capital",45,info@voltaventures.eu
Founders Factory,https://www.crunchbase.com/organization/founders-factory,"London, England, United Kingdom","CleanTech, Consumer, FinTech, GreenTech, Health Care, Media and Entertainment, Mining, SaaS, Shipping, Telecommunications",147,hello@foundersfactory.com
CapitalT,https://www.crunchbase.com/organization/capitalt,"Amsterdam, Noord-Holland, The Netherlands","Education, GreenTech, Human Resources, Social, Software, Sustainability, Web3",25,janneke@capitaltvc.com
Kickfund,https://www.crunchbase.com/organization/kickfund,"Basel, Basel-Stadt, Switzerland",Venture Capital,30,info@kickfund.ch
Bitfury Group,https://www.crunchbase.com/organization/bitfury,"Amsterdam, Noord-Holland, The Netherlands","Bitcoin, Blockchain, Data Center, FinTech, Hardware, Information Services, Information Technology, Mining, Mining Technology",6,info@bitfury.com
Seraphim Space,https://www.crunchbase.com/organization/seraphim-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",105,ea@seraphim.vc
Project A Ventures,https://www.crunchbase.com/organization/project-a-ventures,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",125,info@project-a.com
SwissBorg,https://www.crunchbase.com/organization/swissborg,"Lausanne, Vaud, Switzerland","Blockchain, Communities, Financial Services, FinTech, Wealth Management",6,cyborg@swissborg.com
Bethnal Green Ventures,https://www.crunchbase.com/organization/bethnal-green-ventures,"London, England, United Kingdom",Financial Services,167,hello@bethnalgreenventures.com
Passion Capital,https://www.crunchbase.com/organization/passion-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",96,info@passioncapital.com
Credo Ventures,https://www.crunchbase.com/organization/credo-ventures,"Prague, Hlavni mesto Praha, Czech Republic","Finance, Financial Services, Information Technology, Internet, Venture Capital",79,info@credoventures.com
Gorilla Capital,https://www.crunchbase.com/organization/gorilla-capital-2017-fund-ky,"Helsinki, Southern Finland, Finland","B2B, E-Commerce, FinTech, SaaS, Software",57,petri@gorillacapital.fi
XAnge,https://www.crunchbase.com/organization/xange-private-equity,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",193,contact@xange.fr
Ahren Innovation Capital,https://www.crunchbase.com/organization/ahren-innovation-capital,"London, England, United Kingdom",Venture Capital,25,info@ahren.co.uk
Revent,https://www.crunchbase.com/organization/revent-capital,"Berlin, Berlin, Germany","EdTech, Education, Financial Services, FinTech, Government, Health Care",26,info@revent.vc
BREEGA,https://www.crunchbase.com/organization/breega-capital,"Paris, Ile-de-France, France","FinTech, Impact Investing, InsurTech, Venture Capital",95,com@breega.com
Laser Digital,https://www.crunchbase.com/organization/laser-digital,"Zürich, Zurich, Switzerland","Digital Media, Financial Services, Impact Investing, Web3",41,inquiries@laserdigital.com
Soulmates Ventures,https://www.crunchbase.com/organization/soulmates-ventures,"Prague, Hlavni mesto Praha, Czech Republic","AgTech, CleanTech, EdTech, Energy, GreenTech, Medical, Sustainability, Venture Capital",16,hello@soulmatesventures.com
Rabobank,https://www.crunchbase.com/organization/rabobank,"Utrecht, Utrecht, The Netherlands","Banking, Finance, Financial Services, Wealth Management",164,contact@rabobank.com
Target Global,https://www.crunchbase.com/organization/target-ventures,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",138,info@targetglobal.vc
SCVC,https://www.crunchbase.com/organization/science-creates-ventures,"Bristol, Bristol, City of, United Kingdom","Biotechnology, Financial Services, Health Care, Incubators, Industrial, Internet, Life Science, Medical, Venture Capital",16,info@scvc.com
Partech,https://www.crunchbase.com/organization/partech,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",389,media@partechpartners.com
212,https://www.crunchbase.com/organization/212-capital-partners,"Istanbul, Istanbul, Turkey","Finance, Financial Services, FinTech, Venture Capital",40,info@212.vc
Zürcher Kantonal Bank,https://www.crunchbase.com/organization/zürcher-kantonalbank,"Zürich, Zurich, Switzerland","Banking, Finance, Financial Services",131,socialmedia@zkb.ch
Banco Sabadell,https://www.crunchbase.com/organization/banco-sabadell,"Barcelona, Catalonia, Spain","Banking, Finance, Financial Services",56,info@bancsabadell.com
Par Equity,https://www.crunchbase.com/organization/par-equity,"Edinburgh, Edinburgh, City of, United Kingdom","Financial Services, FinTech, Impact Investing, Venture Capital",85,info@parequity.com
SyndicateRoom,https://www.crunchbase.com/organization/syndicateroom,"Cambridge, Cambridgeshire, United Kingdom","FinTech, Venture Capital",113,contactus@syndicateroom.com
Inveready,https://www.crunchbase.com/organization/inveready-technology-investment-group,"San Sebastian, Pais Vasco, Spain","Finance, Financial Services, Venture Capital",218,info@inveready.com
Salica,https://www.crunchbase.com/organization/hambroperksltd,"London, England, United Kingdom","Finance, Financial Services, Information Technology, Venture Capital",142,info@salicainvest.com
Kindred Capital,https://www.crunchbase.com/organization/kindredcapital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",56,hello@kindredcapital.vc
Point Nine,https://www.crunchbase.com/organization/point-nine-capital,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Marketplace, SaaS, Venture Capital",171,info@pointninecap.com
NatWest Group,https://www.crunchbase.com/organization/royal-bank-of-scotland,"Edinburgh, Edinburgh, City of, United Kingdom","Banking, Finance, Financial Services, Wealth Management",55,in.service@rbs.com
ZAKA VC,https://www.crunchbase.com/organization/zaka-startups,"Prague, Hlavni mesto Praha, Czech Republic","Financial Services, Venture Capital",56,hey@zaka.vc
Northstar Ventures,https://www.crunchbase.com/organization/northstar-ventures,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Angel Investment, Financial Services, Impact Investing, Social Impact, Venture Capital",287,hello@northstarventures.co.uk
SHIFT Invest,https://www.crunchbase.com/organization/shift-invest,"Amstelveen, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",41,info@shiftinvest.com
Elkstone Capital Partners,https://www.crunchbase.com/organization/elkstone-capital-partners,"Dublin, Dublin, Ireland",Financial Services,53,venture@elkstoneprivate.com
Capricorn Partners,https://www.crunchbase.com/organization/capricorn-partners,"Leuven, Vlaams-Brabant, Belgium","Asset Management, Finance, Financial Services, Venture Capital",72,proposals@capricorn.be
BrightCap Ventures,https://www.crunchbase.com/organization/brightcap-ventures,"Amsterdam, Noord-Holland, The Netherlands","Financial Services, Venture Capital",21,info@brightcap.vc
Faber,https://www.crunchbase.com/organization/faber-ventures,"Lisbon, Lisboa, Portugal","Financial Services, Venture Capital",50,contact@faber.vc
Alven,https://www.crunchbase.com/organization/alven-capital,"Paris, Ile-de-France, France","Blockchain, Consumer Applications, Cryptocurrency, Data Management, Developer Tools, Financial Services, FinTech, Gaming, Information Technology, Venture Capital",133,contact@alven.com
P101,https://www.crunchbase.com/organization/programma-101,"Milan, Lombardia, Italy","Angel Investment, Finance, Financial Services, Venture Capital",57,info@p101.it
Nordstar,https://www.crunchbase.com/organization/nordstar,"London, England, United Kingdom","Business Development, Financial Services, Venture Capital",29,contact@nordstar.com
TLcom Capital Partners,https://www.crunchbase.com/organization/tlcom-capital-partners,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",39,info@tlcomcapital.com
Turkey Development Fund,https://www.crunchbase.com/organization/turkey-development-fund,"Umraniye, Istanbul, Turkey","Finance, Financial Services, Venture Capital",152,info-tkf@kalkinma.com.tr
henQ,https://www.crunchbase.com/organization/henq-invest,"Amsterdam, Noord-Holland, The Netherlands","Angel Investment, B2B, Enterprise Applications, Enterprise Software, FinTech, Information Technology, Internet",38,applications@henq.vc
Form Ventures,https://www.crunchbase.com/organization/form-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",19,info@formventures.vc
Jolt Capital,https://www.crunchbase.com/organization/jolt-capital,"Paris, Ile-de-France, France",Financial Services,26,contact@jolt-capital.com
NAP,https://www.crunchbase.com/organization/nap-vc,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",52,lena@nap.vc
HCVC,https://www.crunchbase.com/organization/hardwareclub,"Paris, Ile-de-France, France","Financial Services, Hardware, Venture Capital",52,contact@hardwareclub.co
Intesa Sanpaolo,https://www.crunchbase.com/organization/intesa-sanpaolo,"Turin, Piemonte, Italy","Asset Management, Banking, Financial Services, Insurance",107,info@intesasanpaolo.com
Schroders,https://www.crunchbase.com/organization/schroders-plc,"London, England, United Kingdom","Asset Management, Finance, Financial Services",17,investorservices@schroders.com
PSV,https://www.crunchbase.com/organization/preseed-innovation,"Lyngby, Hovedstaden, Denmark",Venture Capital,107,pitch@preseedventures.dk
Flashpoint,https://www.crunchbase.com/organization/flashpointvc,"London, England, United Kingdom","Financial Services, Venture Capital",52,hello@flashpointvc.com
Praetura Ventures,https://www.crunchbase.com/organization/praetura-capital,"Manchester, Manchester, United Kingdom","Financial Services, Venture Capital",76,ventures@praetura.co.uk
Insurtech Gateway,https://www.crunchbase.com/organization/insurtech-gateway,"London, England, United Kingdom","Finance, FinTech, Incubators, Insurance, InsurTech",28,opensesame@insurtechgateway.com
Maj Invest Equity,https://www.crunchbase.com/organization/maj-invest-equity,"Copenhagen, Hovedstaden, Denmark","Intellectual Property, Wealth Management",20,contact@majinvest.com
DFINITY,https://www.crunchbase.com/organization/dfinity,"Zürich, Zurich, Switzerland","Artificial Intelligence (AI), Blockchain, Cloud Computing, Cryptocurrency, Internet, Software, Web Development",6,comms@dfinity.org
42CAP,https://www.crunchbase.com/organization/42cap,"Munich, Bayern, Germany","SaaS, Venture Capital",50,info@42cap.com
Vireo Ventures,https://www.crunchbase.com/organization/vireo-ventures,"Berlin, Berlin, Germany",Venture Capital,25,hello@vireo.vc
Blue Horizon Corporation,https://www.crunchbase.com/organization/blue-horizon-corporation,"Zürich, Zurich, Switzerland","Agriculture, Farming, Finance, Financial Services, Food and Beverage, Food Processing, Sustainability, Venture Capital",65,info@bluehorizon.com
Eleven Ventures,https://www.crunchbase.com/organization/eleven,"Sofia, Grad Sofiya, Bulgaria","Consulting, Finance, Financial Services",163,eleven@11.me
Nauta Capital,https://www.crunchbase.com/organization/nauta-capital,"London, England, United Kingdom","B2B, Finance, Software, Venture Capital",95,info@nautacapital.com
Hiro Capital,https://www.crunchbase.com/organization/hiro-capital,"London, England, United Kingdom","eSports, Gaming, Venture Capital, Video Games, Wearables",36,enquiries@hiro.capital
360 Capital,https://www.crunchbase.com/organization/360-capital-partners,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",136,info@360cap.vc
EUREKA! Venture SGR,https://www.crunchbase.com/organization/eureka-venture,"Milano, Lombardia, Italy","Finance, Financial Services, Venture Capital",18,info@eurekaventure.it
Credix,https://www.crunchbase.com/organization/credix-47fb,"Antwerp, Antwerpen, Belgium","Financial Services, FinTech",6,info@credix.finance
Mangrove Capital Partners,https://www.crunchbase.com/organization/mangrove-capital-partners,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services, Internet, Venture Capital",109,deals@mangrove.vc
SNÖ Ventures,https://www.crunchbase.com/organization/snÖ-ventures,"Oslo, Oslo, Norway","Business Development, Finance, Financial Exchanges, Financial Services, Venture Capital",24,hello@sno.vc
Mercuri,https://www.crunchbase.com/organization/mercuri-vc,"London, England, United Kingdom","Business Development, Financial Services, Venture Capital",43,info@mercuri.vc
Hexa,https://www.crunchbase.com/organization/efounders,"Paris, Ile-de-France, France","B2B, Blockchain, FinTech, Internet, SaaS, Software, Web3",24,love@hexa.cc
Lifeline Ventures,https://www.crunchbase.com/organization/lifeline-ventures,"Helsinki, Southern Finland, Finland",Venture Capital,114,timo@lifelineventures.com
Vento,https://www.crunchbase.com/organization/vento-db57,"Torino, Piemonte, Italy",Venture Capital,16,info@vento.ventures
Ventech,https://www.crunchbase.com/organization/ventech-capital,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",131,contact@ventechvc.com
Planet A Ventures,https://www.crunchbase.com/organization/planet-a-ventures,"Berlin, Berlin, Germany",Venture Capital,24,startups@planet-a.com
Seedrs,https://www.crunchbase.com/organization/seedrs,"London, England, United Kingdom","Crowdfunding, Finance, Financial Services, Funding Platform, Venture Capital",246,support@seedrs.com
Firstminute Capital,https://www.crunchbase.com/organization/firstminute-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",131,team@firstminute.capital
Foundamental,https://www.crunchbase.com/organization/foundamental,"Berlin, Berlin, Germany","Architecture, Building Maintenance, Construction, Home Improvement, Home Renovation, Human Resources, Real Estate, Robotics, Venture Capital",61,hello@foundamental.com
Founders Future,https://www.crunchbase.com/organization/founders-future,"Paris, Ile-de-France, France","Finance, Venture Capital",84,hello@foundersfuture.com
Merantix Capital,https://www.crunchbase.com/organization/merantix,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Big Data, Impact Investing, Machine Learning, Predictive Analytics, Software, Venture Capital",14,info@merantix.com
Anterra Capital,https://www.crunchbase.com/organization/anterra-capital,"Amsterdam, Noord-Holland, The Netherlands","AgTech, Financial Services, Food and Beverage, Supply Chain Management, Venture Capital",26,office@anterracapital.com
Future Energy Ventures,https://www.crunchbase.com/organization/future-energy-ventures,"Berlin, Berlin, Germany","Energy, Green Building, Transportation, Venture Capital",61,contact@fev.vc
Odin,https://www.crunchbase.com/organization/odin-2848,"London, England, United Kingdom","Communities, Financial Services, Venture Capital",2,hello@joinodin.com
Paper Ventures,https://www.crunchbase.com/organization/paper-ventures,"London, England, United Kingdom","Artificial Intelligence (AI), Bitcoin, Blockchain, Cryptocurrency, Software, Web3",25,info@paper.ventures
