Organization/Person Name,Website,Contact Email
Firstminute Capital,https://firstminute.capital/,team@firstminute.capital
Lifeline Ventures,http://www.lifelineventures.com,timo@lifelineventures.com
APX,https://apx.vc/,hello@apx.vc
Hackquarters,http://www.hackquarters.co,hello@hackquarters.co
GSR,https://www.gsr.io,gsr@gsr.io
Mangrove Capital Partners,http://www.mangrove.vc/,deals@mangrove.vc
Normandie Incubation,https://normandie-incubation.com,contact@normandie-incubation.com
LAUNCHub Ventures,https://launchub.com,info@launchub.com
Innosuisse,https://www.innosuisse.ch,info@innosuisse.ch
GoBeyond,https://www.gobeyondinvesting.com/,info@gobeyondinvesting.com
Frontline Ventures,https://www.frontline.vc,info@frontline.vc
Innovacom,https://innovacom.com/,info@innovacom.com
FMO,http://www.fmo.nl/,Paulgregory0000@gmail.com
Janus Henderson Investors,https://www.janushenderson.com/henderson,support@janushenderson.com
Act Venture Capital,http://www.actventure.capital,info@actvc.ie
Techstart Ventures,https://www.techstart.vc/,info@techstart.vc
Belgian Investment Company for Developing Countries,http://www.bio-invest.be/,communications@bio-invest.be
Force Over Mass Capital,http://www.fomcap.com/,info@fomcap.com
Downing Ventures,https://downing.co.uk/ventures/,webinfo@downing.co.uk
IQ Capital,http://www.iqcapital.vc,hello@iqcapital.vc
redalpine,http://www.redalpine.com,info@redalpine.com
Scottish Equity Partners,http://www.sep.co.uk,enquiries@sep.co.uk
Propel Capital,https://sting.co/propel-capital/,emanuel.andersson@sting.co
Rabobank,http://www.rabobank.com,contact@rabobank.com
Auriga Partners,https://www.auriga.vc,entrepreneur@aurigapartners.com
Oxford Science Enterprises,https://oxfordscienceenterprises.com/,hello@oxfordsciences.com
Forbion Capital Partners,http://www.forbion.com,info@forbion.com
Nauta Capital,http://www.nautacapital.com,info@nautacapital.com
LVenture Group,http://www.lventuregroup.com,info@lventuregroup.com
Inventure,https://inventure.vc/,hello@inventure.vc
Kinnevik,http://www.kinnevik.com,info@kinnevik.se
Rocket Internet,https://www.rocket-internet.com/,info@rocket-internet.com
Unilever Ventures,http://www.unileverventures.com,uv.investments@unilever.com
Entrepreneur Venture,https://www.entrepreneurinvest.com,bahri@entrepreneurventure.com
Runa Capital,http://runacap.com,info@runacap.com
Turkey Development Fund,https://www.turkiyekalkinmafonu.com.tr/,info-tkf@kalkinma.com.tr
468 Capital,https://www.468cap.com,contact@468cap.com
AlbionVC,https://www.albion.vc,marketing@albion.capital
ACF Investors,https://www.acfinvestors.com,info@angelcofund.co.uk
Isai,https://www.isai.fr/,info@isai.fr
Fil Rouge Capital (FRC),http://www.filrougecapital.com/,info@filrougecapital.com
InnovX,https://www.innovx.eu/,office@innovx.eu
Serena,http://www.serena.vc,contact@serena.vc
Seraphim Space,https://seraphim.vc,ea@seraphim.vc
Karista,https://www.karista.vc/,contact@karista.vc
Bosch Ventures,http://www.rbvc.com,Info.RBVC@de.bosch.com
IRIS,https://www.iris.vc,contact@iris.vc
Pario Ventures,http://www.parioventures.com,info@parioventures.com
MH Ventures,https://www.mhventures.io/,info@mhventures.io
Mercia Fund Managers,https://www.mercia.co.uk,info@merciafund.co.uk
TGFS - Technologiegründerfonds Sachsen,https://www.cfh.de,info@tgfs.de
Kreos Capital,http://www.kreoscapital.com,info@kreoscapital.com
Seedstars,https://www.seedstars.com/,info@seedstars.com
PSV,https://psv.xyz,pitch@preseedventures.dk
Founders Factory,https://foundersfactory.com/,hello@foundersfactory.com
Star Ventures,http://www.star-ventures.com,info@star-ventures.de
Atlantic Bridge,http://www.abven.com,info@abven.com
Siparex Groupe,http://www.siparex.com,a.gall@siparex.com
LDC,http://www.ldc.co.uk,info@ldc.co.uk
Oxford Technology Management,http://www.oxfordtechnology.com,info@oxfordtechnology.com
Exor Ventures,https://www.exor.com/pages/companies-investments/ventures,seeds@exor.com
Space3ac,http://www.space3.ac/,hello@space3.ac
UBS,https://www.ubs.com,mediarelations@ubs.com
Dawn Capital,http://www.dawncapital.com,deals@dawncapital.com
ZBS CAPITAL,https://zbs.capital,invest@zbs.capital
BOM,https://www.bom.nl/,brabantventures@bom.nl
Cambridge Angels group,http://cambridgeangels.com,info@cambridgeangels.net
Acton Capital,http://www.actoncapital.com,info@actoncapital.com
BREEGA,https://www.breega.com/,com@breega.com
Felix Capital,http://www.felixcap.com,info@felixcap.com
Episode 1,http://www.episode1.com,info@episode1.com
Cathay Capital,https://www.cathaycapital.com,contact@cathay.fr
Credo Ventures,http://www.credoventures.com,info@credoventures.com
SGH CAPITAL,https://www.sghcapital.com,venture@sghcapital.com
BNP Paribas Développement,http://www.bnpparibasdeveloppement.com/,bnpparibas.developpement@bnpparibas.com
AVP,https://www.avpcap.com ,sebastien.loubry@avpcap.com
GO CAPITAL,http://www.gocapital.fr/,contact@gocapital.fr
SyndicateRoom,http://www.syndicateroom.com,contactus@syndicateroom.com
PMV,http://www.pmv.eu/en,info@pmv.eu
Ardian,https://www.ardian.com/,press@ardian.com
Midven,https://midven.co.uk/,enquiries@midven.com
Hummingbird Ventures,http://www.hummingbird.vc,hello@hummingbird.vc
Icebreaker.vc,https://icebreaker.vc/,info@icebreaker.vc
Verdane,http://www.verdane.com,office@verdane.com
Capnamic,http://capnamic.com,info@capnamic.com
Mountain Partners,https://mountain.partners/,contact@mountain.partners
Wellcome Trust,https://wellcome.org,mediaoffice@wellcome.ac.uk
Kurma Partners,http://www.kurmapartners.com,contact@kurmapartners.com
Gilde Healthcare,http://www.gildehealthcare.com,healthcare@gildehealthcare.com
Naxicap Partners,http://www.naxicap.fr,contact_toulouse@naxicap.fr
Kibo Ventures,http://www.kiboventures.com,hello@kiboventures.com
London Co-Investment Fund,http://lcif.co/,hello@fundinglondon.co.uk
Lightrock,https://www.lightrock.com,info@lightrock.com
Roche Venture Fund,http://www.venturefund.roche.com,roche.venturefund@roche.com
UK Innovation & Science Seed Fund,https://ukinnovationscienceseedfund.co.uk,enquiries@UKI2S.co.uk
Investinor,http://www.investinor.no,post@investinor.no
Praetura Ventures,https://www.praeturaventures.com,ventures@praetura.co.uk
Playfair Capital,http://playfair.vc,hello@playfair.vc
UVC Partners,http://www.uvcpartners.com/,pitch@uvcpartners.com
Founders Future,http://www.foundersfuture.com,hello@foundersfuture.com
SpinLab - The HHL Accelerator,https://spinlab.co/,info@spinlab.co
Redstone.VC,http://www.redstone.vc,info@redstone.vc
Wayra UK,https://www.wayra.uk,victor.aloic@wayra.org
EQT,https://eqtgroup.com,press@eqtpartners.com
eCAPITAL ENTREPRENEURIAL PARTNERS,http://www.ecapital.vc,info@ecapital.vc
bmp Ventures,http://www.bmp.com,info@bmp.com
Angel Invest,https://angelinvest.ventures,js@angelinvest.ventures
IMPACT Accelerator,http://www.impact-accelerator.com/,info@impact-accelerator.com
Axel Springer Plug and Play Accelerator,http://www.axelspringerplugandplay.com,PlugandPlay@Axelspringer.de
Investisseurs & Partenaires,http://www.ietp.com/,info@ietp.com
Social Tech Trust,https://socialtechtrust.org/,hello@socialtechtrust.org
Katapult,https://katapult.vc,hello@katapult.vc
K Fund,http://kfund.vc,info@kfund.vc
Hoxton Ventures,https://www.hoxton.vc,info@hoxton.vc
Aglaé Ventures,http://aglaeventures.com/,contact@aglaeventures.com
Target Partners,http://www.targetpartners.de,info@targetpartners.de
YFM Equity Partners,http://www.yfmep.com/,info@yfmep.com
VentureFriends,http://venturefriends.vc,info@venturefriends.vc
Capricorn Partners,http://www.capricorn.be,proposals@capricorn.be
VI Partners,http://www.vipartners.ch/,funding@vipartners.ch
BayBG Venture Capital,https://www.baybg-vc.de/,info@baybg.de
Fabric Ventures,https://www.fabric.vc/,info@fabric.vc
Starquest Capital,https://www.starquest-capital.com/,contact@starquest-capital.com
Claret Capital Partners,https://www.claret-capital.com/,ldavenport@claret-capital.com
JamJar Investments,http://jamjarinvestments.com/,invest@jamjarinvestments.com
La Famiglia,http://lafamiglia.vc/,ciao@lafamiglia.vc
M Capital Partners,http://www.mcapital.fr,contact@mcapitalpartners.fr
FastTrackTech,http://www.intracen.org/e-Trade-for-Impact/Fast-Tracking-Digital-Entrepreneurship-in-Africa/,labbe@intracen.org
Pi Labs,http://www.pilabs.vc,info@pilabs.vc
Alma Mundi Ventures,http://mundiventures.com/,contact@mundiventures.com
Aslanoba Capital,http://www.aslanobacapital.com,contact@aslanobacapital.com
Catapult Ventures,http://www.catapult-ventures.com,mail@catapult-ventures.com
Piton Capital,https://www.pitoncap.com/,info@pitoncap.com
KFW DEG,https://www.deginvest.de,info@deginvest.de
University of Cambridge Enterprise,https://www.enterprise.cam.ac.uk/,enquiries@enterprise.cam.ac.uk
GP Bullhound,http://www.gpbullhound.com,hello.london@gpbullhound.com
NRW.BANK,http://www.nrwbank.de,info@nrwbank.de
Delta Partners,http://www.deltapartners.com/,info@deltapartners.com
TMT Investments,http://tmtinvestments.com,info@tmtinvestments.com
Equity Gap,https://www.equitygap.co.uk,enquiries@equitygap.co.uk
Business Angels Switzerland (BAS),http://www.businessangels.ch/,contact-b@businessangels.ch
Practica Capital,https://www.practica.vc/,info@practica.vc
JME Ventures,http://www.jme.vc/,backme@jme.vc
TVM Capital,http://www.tvm-capital.com,info@tvm-capital.de
The North West Fund,http://www.thenorthwestfund.co.uk,enquiries@thenorthwestfund.co.uk
Incubateur Impulse,https://www.incubateur-impulse.fr,m.defous@incubateur-impulse.com
Northern Powerhouse Investment Fund,http://www.npif.co.uk/,info@british-business-bank.co.uk
Newable Private Investing,https://newable.co.uk/ventures,privateinvesting@newable.co.uk
STRT Holding Nyrt,https://strt.hu,info@strt.hu
AA Sons,http://aasons.io/,contact@aasons.io
Draper B1,https://draperb1.vc/,info@draperb1.vc
Kennet Partners,http://www.kennet.com,info@kennet.com
24 Haymarket,http://24haymarket.com/,contact@24haymarket.com
Sofina,https://www.sofinagroup.com,info@sofinagroup.com
MCI Capital SA,https://mci.pl,office@mci.eu
Acurio Ventures,http://www.acurio.vc,hello@acurio.vc
P101,https://www.p101.it/en/,info@p101.it
Mercia Asset Management,https://www.mercia.co.uk/,info@mercia.co.uk
Calm/Storm Ventures,https://www.calmstorm.vc,hello@calmstorm.vc
ICF Capital,http://www.icf.cat/es/productes-financers/index.html?BotoOp=capital,infoifem@icf.cat
Forward Partners,http://www.forwardpartners.com,seed@forwardpartners.com
Maven 11 Capital,https://www.maven11.com,joost@maven11.com
Worth Capital,https://worthcapital.uk/,info@worthcapital.uk
BNP Paribas Private Equity,http://www.bnpparibas-ip.com,ipcontacts@bnpparibas.com
Alpana Ventures,https://alpana-ventures.ch/,info@alpana-ventures.ch
Finorpa,http://www.finorpa.fr/finorpa-gie,finorpa@finorpa.fr
Foundamental,https://foundamental.com,hello@foundamental.com
coparion,https://www.coparion.vc/en,info@coparion.vc
Club degli Investitori,http://www.clubdeglinvestitori.it/,info@clubdeglinvestitori.it
Kindred Capital,http://www.kindredcapital.vc/,hello@kindredcapital.vc
StartupYard,http://startupyard.com/,info@startupyard.com
UI Investissement,https://www.ui-investissement.com,Paulgregory0000@gmail.com
Angels Capital,http://www.angelscapital.es/,info@angelscapital.es
Seaya,https://seaya.vc,info@seayaventures.com
NAP,https://www.nap.vc/,lena@nap.vc
Digital Magics,http://www.digitalmagics.com,info@digitalmagics.com
Cambridge Innovation Capital,https://www.cic.vc,enquiries@cic.vc
Axeleo Capital,http://www.axc.vc,contact@axc.vc
Creathor Ventures,http://www.creathor.com,creathor@creathor.com
HOWZAT Partners,http://www.howzatpartners.com,info@howzatpartners.com
VNV Global,https://vnv.global,bjorn@vnv.global
Mosaic Ventures,http://www.mosaicventures.com/,hello@mosaicventures.com
CVC Capital Partners,http://www.cvc.com,info@cvc.com
Advent Venture Partners,http://adventventures.com,info@adventventures.com
Angels Den,http://www.angelsden.com,info@angelsden.com
Initial Capital,http://www.initialcapital.com,info@initialcapital.com
Nextech Invest,http://www.nextechinvest.com,info@nextechinvest.com
MIG Capital,http://www.mig.ag/en/,info@mig.ag
Limburgse Reconversie Maatschappij,http://www.lrm.be/en,info@lrm.be
Italian Angels for Growth,http://www.italianangels.net,press@italianangels.net
Cipio Partners,http://www.cipiopartners.com,info@cipiopartners.com
Armilar Venture Partners,http://www.armilar.com/en/,info@armilar.com
Kingsway Capital,http://www.kingswaycap.com,info@kingswaycap.com
50 Partners,http://www.50partners.fr,contact@50partners.fr
TotalEnergies Ventures,https://ventures.totalenergies.com,contact.ventures@total.com
Norrsken VC,https://www.norrsken.org/norrskenvc,info@norrsken.vc
Emerald Technology Ventures,http://www.emerald-ventures.com/,info@emerald-ventures.com
OpenOcean,https://openocean.vc,info@openocean.vc
Motier Ventures,https://www.motier.vc/,contact@motier.vc
Moscow Seed Fund,http://mosinnov.ru/,info@mosinnov.ru
DSM Venturing,https://www.dsm-firmenich.com/ventures,info.venturing@dsm.com
UK Research and Innovation,https://www.ukri.org/,communications@ukri.org
JOINT JOURNEY,http://jjvc.info/,inbox@jjvc.info
H-FARM,http://www.h-farm.com/en/,info@h-farm.com
TEV Ventures,https://www.cuspcapital.com,ideas@tev.de
Demeter,http://demeter-im.com/en,contact@demeter-im.com
Vitruvian Partners,http://www.vitruvianpartners.com,contact@vitruvianpartners.com
Supernova Invest,http://www.supernovainvest.com/,contact@supernovainvest.com
ETF Partners,http://www.etfpartners.capital/,info@etfpartners.capital
Future Energy Ventures,https://fev.vc,contact@fev.vc
Inkef,https://www.inkef.com,info@inkef.com
PROfounders Capital,https://www.profounderscapital.com/,contact@profounderscapital.com
Deepbridge Capital,http://www.deepbridgecapital.com,info@deepbridgecapital.com
BioMedPartners,http://www.biomedvc.com,info@biomedvc.com
Innovation Fund Denmark,http://innovationsfonden.dk,kontakt@innovationsfonden.dk
Aerion Partners,https://www.aerionpartners.com/,info@aerionpartners.com
Maki.vc,https://maki.vc/,lets@maki.vc
Demeter Partners,http://www.demeter-partners.com/,cv@demeter-partners.com
Axon Partners Group,http://axonpartnersgroup.com,maria.capote@axonpartnersgroup.com
LVP,http://www.londonvp.com,info@londonvp.com
ODYSSEE VENTURE,http://www.odysseeventure.com,entrepreneurs@odysseeventure.com
Alesta Yatırım,http://www.alestayatirim.com/,ibrahim.ozer@alestayatirim.com
HCVC,http://hcvc.co/,contact@hardwareclub.co
Flashpoint,http://www.flashpointvc.com/,hello@flashpointvc.com
Bek Ventures,https://www.bekventures.com/,contact@bekventures.com
Export and Investment Fund,https://www.eifo.dk,reception@eifo.dk
Vorwerk Ventures,https://vorwerkventures.com,vorwerk-ventures@vorwerkventures.com
Redbus Ventures,http://www.redbus.uk/,info@redbus.uk
Imprimatur Capital Fund Management,http://www.icfm.lv/,riga@impcap.com
Faraday Venture Partners,https://faradayvp.com/,info@faraday.es
Norfund,https://norfund.no,post@norfund.no
Rheingau Founders,http://rheingau-founders.com,contact@rheingau-founders.com
Santander,https://www.santander.com/,accionistas@santander.com
42CAP,http://www.42cap.com,info@42cap.com
Fonbulucu,https://invest.fonbulucu.com/,info@fonbulucu.com
SODENA,http://www.sodena.com,info@sodena.com
Steadview Capital,http://steadview.com/,inquiries@steadview.com
Otium Capital,https://www.otiumcapital.com/,hello@otiumcapital.com
Collider,http://www.collider.io,hello@collider.io
Illuminate Financial,http://illuminatefinancial.com/,info@illuminatefinancial.com
Actis,https://www.act.is/,info@act.is
Talis Capital,http://www.taliscapital.com,info@taliscapital.com
Blue Horizon Corporation,https://www.bluehorizon.com/,info@bluehorizon.com
Club Italia Investimenti 2,http://www.cii2.com,team@cii2.com
aws Gründungsfonds,http://www.gruenderfonds.at,office@gruenderfonds.at
Pentech Ventures,https://pentech.vc/,info@pentechvc.com
Kelvin Capital,https://www.kelvincapital.com/,theteam@kelvincapital.com
Grazia Equity,http://www.grazia.com/en/,info@grazia.com
InnovationQuarter,http://www.innovationquarter.nl/,info@innovationquarter.nl
Generation Investment Management,http://www.generationim.com,genfound@generationim.com
CapHorn Invest,https://caphorn.vc/,info@caphorn.vc
Archangels,http://www.archangelsonline.com,investment@archangelsonline.com
Demium Capital,https://demium.com/demium-capital/,hello@demium.com
Manta Ray Ventures,https://mantaray.vc/,contact@mantaray.vc
DTCP,https://www.dtcp.capital,info@dtcp.capital
Presto Ventures,https://www.prestoventures.com/,hello@prestoventures.com
Adara Ventures,http://www.adara.vc,info@adara.vc
Butterfly Ventures,http://butterfly.vc,juho@butterfly.vc
Smedvig Ventures,http://www.smedvig.vc,hello@smedvig.vc
Ysios Capital,http://www.ysioscapital.com,ysios@ysioscapital.com
Triple Point Ventures,http://www.triplepoint.co.uk/,contact@triplepoint.co.uk
Fasanara Capital,https://www.fasanara.com,investor.relations@fasanara.com
NPIF – Mercia Equity Finance,https://www.mercia.co.uk/npif-equity-finance/,info@mercia.co.uk
Evolem Start,http://www.evolem.com,thomas.rival@evolem.com
Innovation Nest,http://www.innovationnest.co,partners@innovationnest.co
Eden Ventures,http://www.edenventures.co.uk,info@edenventures.co.uk
Superhero Capital,http://superherocapital.com,nexthero@superherocapital.com
Innovestor,http://www.innovestorgroup.com/,info@innovestor.fi
Accelerace,http://www.accelerace.io,info@accelerace.io
Saarbruecker 21,https://www.sb21.de/,contact@sb21.de
10x Founders,https://www.10xfounders.com/,info@10xfounders.com
Maxis,https://www.maxisgs.com,info@maxisgirisimpys.com.tr
Momenta,https://www.momenta.one,info@momenta.one
True.,http://www.true.global,enquiries@true.global
MVM Life Science Partners,http://mvm.com,info@mvm.com
Volta Ventures,http://www.volta.ventures,info@voltaventures.eu
The Family,http://thefamily.co,welcome@thefamily.co
Prosus,http://www.prosus.com,investorrelations@naspers.com
BStartup,http://bstartup.bancsabadell.com/,bstartup@bancsabadell.com
Innovation Norway,http://www.innovasjonnorge.no/,post@innovasjonnorge.no
Visionplus,http://www.visionplus.fi,info@visionplus.fi
Orange Ventures,http://ventures.orange.com/,digital.ventures@orange.com
Big Sur Ventures,https://www.bigsurventures.vc/,info@bigsurventures.vc
Elkstone Capital Partners,https://www.elkstonepartners.com/ventures/,venture@elkstoneprivate.com
UNIIQ,http://uniiq.nl/,contact@uniiq.nl
Reflex Capital,https://www.reflexcapital.com,info@reflexcapital.com
Concentric,http://www.concentric.vc,info@concentric.vc
Meusinvest (Noshaq),https://noshaq.be/en/,info@meusinvest.be
Sofimac Investment Managers,http://www.sofimacpartners.com,info@sofimacpartners.com
Mercuri,https://www.mercuri.vc,info@mercuri.vc
Newion,https://newion.com/,info@newion.com
Nina Capital,https://www.nina.capital/,info@nina.capital
Boğaziçi Ventures,http://www.bogaziciventures.com/,info@bogaziciventures.com
CyLon Ventures,https://www.cylonventures.com/,hello@cylonventures.com
Nesta Ventures,https://www.nesta.org.uk,information@nesta.org.uk
Microsoft Accelerator London,https://www.microsoftaccelerator.com/locations/london,msventures@microsoft.com
ProVeg Incubator,https://provegincubator.com/,info@provegincubator.com
Zee Prime Capital,https://zeeprime.capital,info@zeeprime.capital
SeedRocket,http://www.seedrocket.com/en,info@seedrocket.com
Shilling,https://www.shilling.vc/,team@shilling.vc
Primo Capital,https://primo.vc,info@primo.vc
Alliance VC,https://alliance.vc,hello@alliance.vc
PortfoLion Capital Partners,https://www.portfolion.hu/en/,info@portfolion.hu
Flyer One Ventures,https://flyerone.vc/,go@flyerone.vc
EIT Urban Mobility,https://www.eiturbanmobility.eu/impact-ventures/,investments@eiturbanmobility.eu
Caixa Capital,http://www.caixacapital.pt,geral@caixacapital.pt
Paris Business Angels,http://parisbusinessangels.com,contact@parisbusinessangels.com
Low Carbon Innovation Fund,http://www.lowcarbonfund.co.uk/LCIF/Index.action,lcif@uea.ac.uk
Faber,http://faber.vc,contact@faber.vc
United Ventures,https://unitedventures.com,info@unitedventures.it
4Founders Capital,http://www.4founderscapital.com/,info@4founderscapital.com
Emerge,https://emerge.education,hello@emerge.education
Innogest Capital,http://www.innogestcapital.com,info@innogest.it
Hardware.co,http://hardware.co,info@hardware.co
Swen Capital Partners,http://www.swen-cp.fr/,contact@swen-cp.fr
KAYA,https://www.kaya.vc/,info@kaya.vc
Endeavour Vision,http://www.endeavourvision.com,info@endeavourvision.com
Oikocredit International,http://www.oikocredit.coop/,info@oikocredit.org
Greyhound Capital,http://www.greyhoundcapital.com,info@greyhoundcapital.com
Brandenburg Kapital,https://www.brandenburg-kapital.de,eigenkapital@ilb.de
Centro de Incubação de Évora,https://anje.pt/linc/evora/,linc.evora@gmail.com
Serpentine Ventures,https://www.serpentine.vc,contact@serpentine.vc
KTH Holding,https://kthholding.se/,info@kth.se
SocialFare,http://socialfare.org/en/,info@socialfare.org
Revo Capital,http://www.revo.vc,info@revo.vc
C4 Ventures,http://c4v.com/,hello@c4v.com
